Column1,Title,PositiveReview,NegativeReview,Topic,Selected Content,Pos/Neg,Head,Body 1,Body 2,Body 3,Body 4,Body 5,Body 6,Body 7,Body 8,Body 9,Body 10,Body 11,Body 12,Body 13,Body 14,Body 15,Cont. Body 1,Cont. Body 2,Cont. Body 3,Cont. Body 4,Cont. Body 5,Cont. Body 6,Cont. Body 7,Cont. Body 8,Cont. Body 9,Cont. Body 10,Cont. Body 11,Cont. Body 12,Cont. Body 13,Cont. Body 14,Cont. Body 15,Concat,Claim,PositiveReview Relevancy,NegativeReview Relevancy,Column2,Column3,,
3,Very Good,the location is great and near the airport. bus stop is very close.,,Location,the location is great and near the airport. bus stop is very close.,Positive,good_location,great_location,near_airport,close_to_bus_stop,,,,,,,,,,,,,no_evident_not_great_location,no_evident_not_near_airport,no_evident_not_close_to_bus_stop,,,,,,,,,,,,,"great_location , near_airport , close_to_bus_stop , no_evident_not_great_location , no_evident_not_near_airport , no_evident_not_close_to_bus_stop",Claim,Yes,Noise Negative Null,,,,
4,Wonderful,"Great stuff
 Great Quality/price
 Clean",,Staff,Great stuff,Positive,good_staff,great_staff,,,,,,,,,,,,,,,no_evident_not_great_staff,,,,,,,,,,,,,,,"great_staff , no_evident_not_great_staff",Claim,Yes,Noise Negative Null,,,,
4,Wonderful,"Great stuff
 Great Quality/price
 Clean",,Price,Great Quality/price,Positive,good_price,great_quality,great_price,,,,,,,,,,,,,,no_evident_not_great_quality,no_evident_not_great_price,,,,,,,,,,,,,,"great_quality , great_price , no_evident_not_great_quality , no_evident_not_great_price",,,,,,,
4,Wonderful,"Great stuff
 Great Quality/price
 Clean",,Room,Clean,Positive,good_room,clean_room,,,,,,,,,,,,,,,no_evident_not_clean_room,,,,,,,,,,,,,,,"clean_room , no_evident_not_clean_room",,,,,,,
5,"Fantastic value for a new, modern and spotless hotel with lovely management","Clean and modern with very comfortable beds, in a very convenient location. An easy stroll to numerous nice restaurants and a great beach.",,Room,Clean and modern with very comfortable beds,Positive,good_room,clean_room,modern_room,comfortable_bed,,,,,,,,,,,,,no_evident_not_clean_room,no_evident_not_modern_room,no_evident_not_comfortable_bed,,,,,,,,,,,,,"clean_room , modern_room , comfortable_bed , no_evident_not_clean_room , no_evident_not_modern_room , no_evident_not_comfortable_bed",Claim,Yes,Noise Negative Null,,,,
5,"Fantastic value for a new, modern and spotless hotel with lovely management","Clean and modern with very comfortable beds, in a very convenient location. An easy stroll to numerous nice restaurants and a great beach.",,Location,in a very convenient location.  An easy stroll to numerous nice restaurants and a great beach.,Positive,good_location,convenient_location,easy_stroll_to_nice_restaurant,easy_stroll_to_great_beach,,,,,,,,,,,,,no_evident_not_convenient_location,no_evident_not_easy_stroll_to_nice_restaurant,no_evident_not_easy_stroll_to_great_beach,,,,,,,,,,,,,"convenient_location , easy_stroll_to_nice_restaurant , easy_stroll_to_great_beach , no_evident_not_convenient_location , no_evident_not_easy_stroll_to_nice_restaurant , no_evident_not_easy_stroll_to_great_beach",,,,,,,
6,Wonderful,We only stayed over night before heading to the airport. The room was exceptionally clean with a really comfortable bed,,Room,The room was exceptionally clean with a really comfortable bed,Positive,good_room,clean_room,comfortable_bed,,,,,,,,,,,,,,no_evident_not_clean_room,no_evident_not_comfortable_bed,,,,,,,,,,,,,,"clean_room , comfortable_bed , no_evident_not_clean_room , no_evident_not_comfortable_bed",Claim,Yes,Noise Negative Null,,,,
6,Wonderful,We only stayed over night before heading to the airport. The room was exceptionally clean with a really comfortable bed,,Off,We only stayed over night before heading to the airport. ,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lovely stop over,great,,Off,great,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claim,Yes,Noise Negative Null,,,,
8,great place for few days to stay,"nice location, lovely personal, renovated,",nothing,Location,nice location,Positive,good_location,nice_location,,,,,,,,,,,,,,,no_evident_not_nice_location,,,,,,,,,,,,,,,"nice_location , no_evident_not_nice_location",Claim,Yes,Noise Negative Null,,,,
8,great place for few days to stay,"nice location, lovely personal, renovated,",nothing,Staff,lovely personal,Positive,good_staff,lovely_staff,,,,,,,,,,,,,,,no_evident_not_lovely_staff,,,,,,,,,,,,,,,"lovely_staff , no_evident_not_lovely_staff",,,,,,,
8,great place for few days to stay,"nice location, lovely personal, renovated,",nothing,Off,"renovated, nothing",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,such helpful hosts.helped us with map .helps with looking after luggage.patient and understanding,couldn't eat breakfast due to dietary restrictions-but very helpful host showed us how nearby bus takes to town-cntre (and airport by the way so no need for 21 euro taxi),maybe possibility of purchasing fresh fruit or veg,Staff,very helpful host showed us how nearby bus takes to town-cntre (and airport by the way ,Positive,good_staff,helpful_staff,staff_show_how_nearby_bus_take_to_town_center,staff_show_how_nearby_bus_take_to_airport,,,,,,,,,,,,,no_evident_not_helpful_staff,no_evident_not_staff_show_how_nearby_bus_take_to_town_center,no_evident_not_staff_show_how_nearby_bus_take_to_airport,,,,,,,,,,,,,"helpful_staff , staff_show_how_nearby_bus_take_to_town_center , staff_show_how_nearby_bus_take_to_airport , no_evident_not_helpful_staff , no_evident_not_staff_show_how_nearby_bus_take_to_town_center , no_evident_not_staff_show_how_nearby_bus_take_to_airport",Claim,Yes,No,,,,
9,such helpful hosts.helped us with map .helps with looking after luggage.patient and understanding,couldn't eat breakfast due to dietary restrictions-but very helpful host showed us how nearby bus takes to town-cntre (and airport by the way so no need for 21 euro taxi),maybe possibility of purchasing fresh fruit or veg,Off,"couldn't eat breakfast due to dietary restrictions-but, so no need for 21 euro taxi), maybe possibility of purchasing fresh fruit or veg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Great overnight stay before a flight.,Great modern room comfortable bed and quiet location.,,Room,Great modern room comfortable bed,Positive,good_room,great_room,modern_room,comfortable_bed,,,,,,,,,,,,,no_evident_not_great_room,no_evident_not_modern_room,no_evident_not_comfortable_bed,,,,,,,,,,,,,"great_room , modern_room , comfortable_bed , no_evident_not_great_room , no_evident_not_modern_room , no_evident_not_comfortable_bed",Claim,Yes,Noise Negative Null,,,,
10,Great overnight stay before a flight.,Great modern room comfortable bed and quiet location.,,Location,quiet location,Positive,good_location,quiet_location,,,,,,,,,,,,,,,no_evident_not_quiet_location,,,,,,,,,,,,,,,"quiet_location , no_evident_not_quiet_location",,,,,,,
11,Exceptional,"My second time here and true to say it was better than the first which was excellent..
 The staff here are amazing beyond expectations..*****
 Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏
 Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Smile 😁
 Oh yeah the food is great to and very reasonable prices ..
 Even the cleaning lady is so friendly and so nice to talk to .
 The rooms are spacious and clean great to stay .. I even got an upgrade which is always so nice.
 The owners are also great it's like a real caring family set up ...
 The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros 
 I don't think I need to mention where I'll be staying next time I'm in Larnaka.. 😊
 Brilliant guys ... 🙏🙏🙏",,Staff,"The staff here are amazing beyond expectations..*****
 Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏
 Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Even the cleaning lady is so friendly and so nice to talk to. The owners are also great",Positive,good_staff,amazing_staff,beyond_expectation,great_staff,staff_take_time_to_explain,helpful_staff,friendliest_staff,nice_staff,friendly_staff,nice_to_talk_to,,,,,,,no_evident_not_amazing_staff,no_evident_not_beyond_expectation,no_evident_not_great_staff,no_evident_not_staff_take_time_to_explain,no_evident_not_helpful_staff,no_evident_not_friendliest_staff,no_evident_not_nice_staff,no_evident_not_friendly_staff,no_evident_not_nice_to_talk_to,,,,,,,"amazing_staff , beyond_expectation , great_staff , staff_take_time_to_explain , helpful_staff , friendliest_staff , nice_staff , friendly_staff , nice_to_talk_to , no_evident_not_amazing_staff , no_evident_not_beyond_expectation , no_evident_not_great_staff , no_evident_not_staff_take_time_to_explain , no_evident_not_helpful_staff , no_evident_not_friendliest_staff , no_evident_not_nice_staff , no_evident_not_friendly_staff , no_evident_not_nice_to_talk_to",Claim,Yes,Noise Negative Null,,,,
11,Exceptional,"My second time here and true to say it was better than the first which was excellent..
 The staff here are amazing beyond expectations..*****
 Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏
 Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Smile 😁
 Oh yeah the food is great to and very reasonable prices ..
 Even the cleaning lady is so friendly and so nice to talk to .
 The rooms are spacious and clean great to stay .. I even got an upgrade which is always so nice.
 The owners are also great it's like a real caring family set up ...
 The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros 
 I don't think I need to mention where I'll be staying next time I'm in Larnaka.. 😊
 Brilliant guys ... 🙏🙏🙏",,Food,Oh yeah the food is great to and very reasonable prices ..,Positive,good_food,great_food,reasonable_price,,,,,,,,,,,,,,no_evident_not_great_food,no_evident_not_reasonable_price,,,,,,,,,,,,,,"great_food , reasonable_price , no_evident_not_great_food , no_evident_not_reasonable_price",,,,,,,
11,Exceptional,"My second time here and true to say it was better than the first which was excellent..
 The staff here are amazing beyond expectations..*****
 Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏
 Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Smile 😁
 Oh yeah the food is great to and very reasonable prices ..
 Even the cleaning lady is so friendly and so nice to talk to .
 The rooms are spacious and clean great to stay .. I even got an upgrade which is always so nice.
 The owners are also great it's like a real caring family set up ...
 The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros 
 I don't think I need to mention where I'll be staying next time I'm in Larnaka.. 😊
 Brilliant guys ... 🙏🙏🙏",,Room,The rooms are spacious and clean great to stay .. I even got an upgrade,Positive,good_room,spacious_room,clean_room,great_to_stay,got_upgrade,,,,,,,,,,,,no_evident_not_spacious_room,no_evident_not_clean_room,no_evident_not_great_to_stay,no_evident_not_got_upgrade,,,,,,,,,,,,"spacious_room , clean_room , great_to_stay , got_upgrade , no_evident_not_spacious_room , no_evident_not_clean_room , no_evident_not_great_to_stay , no_evident_not_got_upgrade",,,,,,,
11,Exceptional,"My second time here and true to say it was better than the first which was excellent..
 The staff here are amazing beyond expectations..*****
 Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏
 Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Smile 😁
 Oh yeah the food is great to and very reasonable prices ..
 Even the cleaning lady is so friendly and so nice to talk to .
 The rooms are spacious and clean great to stay .. I even got an upgrade which is always so nice.
 The owners are also great it's like a real caring family set up ...
 The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros 
 I don't think I need to mention where I'll be staying next time I'm in Larnaka.. 😊
 Brilliant guys ... 🙏🙏🙏",,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros,Positive,good_location,minutes_walk_to_bus_stop_to_airport,minutes_walk_to_bus_stop_from airport,minutes_walk_to_bus_stop to_town_center,minutes_walk_to_bus_stop_from_town_center,,,,,,,,,,,,no_evident_not_minutes_walk_to_bus_stop_to_airport,no_evident_not_minutes_walk_to_bus_stop_from airport,no_evident_not_minutes_walk_to_bus_stop to_town_center,no_evident_not_minutes_walk_to_bus_stop_from_town_center,,,,,,,,,,,,"minutes_walk_to_bus_stop_to_airport , minutes_walk_to_bus_stop_from airport , minutes_walk_to_bus_stop to_town_center , minutes_walk_to_bus_stop_from_town_center , no_evident_not_minutes_walk_to_bus_stop_to_airport , no_evident_not_minutes_walk_to_bus_stop_from airport , no_evident_not_minutes_walk_to_bus_stop to_town_center , no_evident_not_minutes_walk_to_bus_stop_from_town_center",,,,,,,
11,Exceptional,"My second time here and true to say it was better than the first which was excellent..
 The staff here are amazing beyond expectations..*****
 Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏
 Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Smile 😁
 Oh yeah the food is great to and very reasonable prices ..
 Even the cleaning lady is so friendly and so nice to talk to .
 The rooms are spacious and clean great to stay .. I even got an upgrade which is always so nice.
 The owners are also great it's like a real caring family set up ...
 The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros 
 I don't think I need to mention where I'll be staying next time I'm in Larnaka.. 😊
 Brilliant guys ... 🙏🙏🙏",,Off," My second time here and true to say it was better than the first which was excellent. I don't think I need to mention where I'll be staying next time I'm in Larnaka.
 Brilliant guys, it's like a real caring family set up ..., which is always so nice.",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Easy to get to and park. Lovely hotel, great hosts",The staff were exceptional. So helpful and friendly. Went out of their way for us. The breakfast was lovely with room service too. Very clean and comfortable.,Couldn’t stay longer,Staff,The staff were exceptional. So helpful and friendly. Went out of their way for us.,Positive,good_staff,exceptional_staff,helpful_staff,friendly_staff,staff_go_out_of_their_way_for_us,,,,,,,,,,,,no_evident_not_exceptional_staff,no_evident_not_helpful_staff,no_evident_not_friendly_staff,no_evident_not_staff_go_out_of_their_way_for_us,,,,,,,,,,,,"exceptional_staff , helpful_staff , friendly_staff , staff_go_out_of_their_way_for_us , no_evident_not_exceptional_staff , no_evident_not_helpful_staff , no_evident_not_friendly_staff , no_evident_not_staff_go_out_of_their_way_for_us",Claim,Yes,Noise Negative Null,,,,
12,"Easy to get to and park. Lovely hotel, great hosts",The staff were exceptional. So helpful and friendly. Went out of their way for us. The breakfast was lovely with room service too. Very clean and comfortable.,Couldn’t stay longer,Food,The breakfast was lovely with room service too.,Positive,good_food,lovely_breakfast_with_room_service,,,,,,,,,,,,,,,no_evident_not_lovely_breakfast_with_room_service,,,,,,,,,,,,,,,"lovely_breakfast_with_room_service , no_evident_not_lovely_breakfast_with_room_service",,,,,,,
12,"Easy to get to and park. Lovely hotel, great hosts",The staff were exceptional. So helpful and friendly. Went out of their way for us. The breakfast was lovely with room service too. Very clean and comfortable.,Couldn’t stay longer,Room,Very clean and comfortable.,Positive,good_room,clean_room,comfortable_room,,,,,,,,,,,,,,no_evident_not_clean_room,no_evident_not_comfortable_room,,,,,,,,,,,,,,"clean_room , comfortable_room , no_evident_not_clean_room , no_evident_not_comfortable_room",,,,,,,
12,"Easy to get to and park. Lovely hotel, great hosts",The staff were exceptional. So helpful and friendly. Went out of their way for us. The breakfast was lovely with room service too. Very clean and comfortable.,Couldn’t stay longer,Off,Couldn’t stay longer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Exceptional,"We stayed 1 week and enjoyed it very much. The rooms are lovely and new, very clean and comfortable. The mattress was to my taste. Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants. The staff are so welcoming, we felt like staying with family. We would definitely stay again on our next visit to Larnaca. Thank you so much for the great time we had with you.",,Room,"The rooms are lovely and new, very clean and comfortable. The mattress was to my taste.",Positive,good_room,lovely_room,new_room,clean_room,comfortable_room,mattress_to_my_taste,,,,,,,,,,,no_evident_not_lovely_room,no_evident_not_new_room,no_evident_not_clean_room,no_evident_not_comfortable_room,no_evident_not_mattress_to_my_taste,,,,,,,,,,,"lovely_room , new_room , clean_room , comfortable_room , mattress_to_my_taste , no_evident_not_lovely_room , no_evident_not_new_room , no_evident_not_clean_room , no_evident_not_comfortable_room , no_evident_not_mattress_to_my_taste",Claim,Yes,Noise Negative Null,,,,
13,Exceptional,"We stayed 1 week and enjoyed it very much. The rooms are lovely and new, very clean and comfortable. The mattress was to my taste. Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants. The staff are so welcoming, we felt like staying with family. We would definitely stay again on our next visit to Larnaca. Thank you so much for the great time we had with you.",,Location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",Positive,good_location,short_drive_to_airport,well_located,short_walk_from_promenade,short_walk_from_coffee_shop,short_walk_from_restaurant,,,,,,,,,,,no_evident_not_short_drive_to_airport,no_evident_not_well_located,no_evident_not_short_walk_from_promenade,no_evident_not_short_walk_from_coffee_shop,no_evident_not_short_walk_from_restaurant,,,,,,,,,,,"short_drive_to_airport , well_located , short_walk_from_promenade , short_walk_from_coffee_shop , short_walk_from_restaurant , no_evident_not_short_drive_to_airport , no_evident_not_well_located , no_evident_not_short_walk_from_promenade , no_evident_not_short_walk_from_coffee_shop , no_evident_not_short_walk_from_restaurant",,,,,,,
13,Exceptional,"We stayed 1 week and enjoyed it very much. The rooms are lovely and new, very clean and comfortable. The mattress was to my taste. Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants. The staff are so welcoming, we felt like staying with family. We would definitely stay again on our next visit to Larnaca. Thank you so much for the great time we had with you.",,Staff,"The staff are so welcoming, we felt like staying with family.",Positive,good_staff,welcoming_staff,staff_make_like_staying_with_family,,,,,,,,,,,,,,no_evident_not_welcoming_staff,no_evident_not_staff_make_like_staying_with_family,,,,,,,,,,,,,,"welcoming_staff , staff_make_like_staying_with_family , no_evident_not_welcoming_staff , no_evident_not_staff_make_like_staying_with_family",,,,,,,
13,Exceptional,"We stayed 1 week and enjoyed it very much. The rooms are lovely and new, very clean and comfortable. The mattress was to my taste. Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants. The staff are so welcoming, we felt like staying with family. We would definitely stay again on our next visit to Larnaca. Thank you so much for the great time we had with you.",,Off,"We stayed 1 week and enjoyed it very much, We would definitely stay again on our next visit to Larnaca, Thank you so much for the great time we had with you.",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Average hotel for a 1-2 nights stay at best.,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair. There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,"The receptionist didn't speak English properly, and you have a feeling that people are living in the hotel, rather than staying at a hotel. You can hear the airplanes coming and leaving from the airport all the time, so if you are sensitive to the sounds around you and at night, better to skip this hotel and choose a different one.",Location,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair. There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,Positive,good_location,close_to_airport,10_minute_walk_to_restaurant,10_minute_walk_to_bar,,,,,,,,,,,,,no_evident_not_close_to_airport,no_evident_not_10_minute_walk_to_restaurant,no_evident_not_10_minute_walk_to_bar,,,,,,,,,,,,,"close_to_airport , 10_minute_walk_to_restaurant , 10_minute_walk_to_bar , no_evident_not_close_to_airport , no_evident_not_10_minute_walk_to_restaurant , no_evident_not_10_minute_walk_to_bar",Claim,Yes,Yes,,,,
14,Average hotel for a 1-2 nights stay at best.,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair. There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,"The receptionist didn't speak English properly, and you have a feeling that people are living in the hotel, rather than staying at a hotel. You can hear the airplanes coming and leaving from the airport all the time, so if you are sensitive to the sounds around you and at night, better to skip this hotel and choose a different one.",Staff,The receptionist didn't speak English properly,Negative,bad_staff,staff_not_speak_English_properly,,,,,,,,,,,,,,,have_evident_staff_not_speak_English_properly,,,,,,,,,,,,,,,"staff_not_speak_English_properly , have_evident_staff_not_speak_English_properly",,,,,,,
14,Average hotel for a 1-2 nights stay at best.,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair. There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,"The receptionist didn't speak English properly, and you have a feeling that people are living in the hotel, rather than staying at a hotel. You can hear the airplanes coming and leaving from the airport all the time, so if you are sensitive to the sounds around you and at night, better to skip this hotel and choose a different one.",Room,You can hear the airplanes coming and leaving from the airport all the time,Negative,bad_room,can_hear_airplane_coming,can_hear_airplane_leaving,,,,,,,,,,,,,,have_evident_can_hear_airplane_coming,have_evident_can_hear_airplane_leaving,,,,,,,,,,,,,,"can_hear_airplane_coming , can_hear_airplane_leaving , have_evident_can_hear_airplane_coming , have_evident_can_hear_airplane_leaving",,,,,,,
14,Average hotel for a 1-2 nights stay at best.,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair. There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,"The receptionist didn't speak English properly, and you have a feeling that people are living in the hotel, rather than staying at a hotel. You can hear the airplanes coming and leaving from the airport all the time, so if you are sensitive to the sounds around you and at night, better to skip this hotel and choose a different one.",Off,"and you have a feeling that people are living in the hotel, rather than staying at a hotel,  so if you are sensitive to the sounds around you and at night, better to skip this hotel and choose a different one.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Friendly, family run hotel with excellent kitchen","Second visit - Chose really because it was reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach.
 The staff make it - particularly reception and the dining room.","Nothing really, though for a stay for more than a few days - it is a bit on the edge of Larnaca - with frequent busses to the centre.",Location,"Chose really because it was reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach.",Positive,good_location,close_to_airport,can_stroll_along_nearby_beach,,,,,,,,,,,,,,no_evident_not_close_to_airport,no_evident_not_can_stroll_along_nearby_beach,,,,,,,,,,,,,,"close_to_airport , can_stroll_along_nearby_beach , no_evident_not_close_to_airport , no_evident_not_can_stroll_along_nearby_beach",Claim,Yes,Noise Negative Null,,,,
