ID,Original A,A,B,is phrase B contain any Contrary to phrase A? by maya,is phrase B contain any Contrary to phrase A? by Watanee,is phrase B contain any Contrary to phrase A? by Nonraphan,is phrase B contain any Contrary to phrase A? by Nimmida,Vote
30,no_evident_not_value_for_money,value_for_money,for_money_you_pay_you_get_one_small_water_bottle,,Yes,Yes,,Yes
31,no_evident_not_value_for_money,value_for_money,expensive_for_what_you_get,,Yes,Yes,,Yes
32,no_evident_not_value_for_money,value_for_money,expensive_rate_for_what_offer,,Yes,Yes,,Yes
33,no_evident_not_value_for_money,value_for_money,overpriced_for_facility,,Yes,Yes,,Yes
34,no_evident_not_value_for_money,value_for_money,meal_not_include_in_price,,Yes,Yes,,Yes
35,no_evident_not_value_for_money,value_for_money,high_price_for_not_enough_comfort_room,,Yes,Yes,,Yes
36,no_evident_not_value_for_money,value_for_money,high_price_for_small_room,,Yes,Yes,,Yes
37,no_evident_not_value_for_money,value_for_money,expensive_hotel,,No,No,,No
38,no_evident_not_value_for_money,value_for_money,expensive_for_average_hotel,,Yes,Yes,,Yes
39,no_evident_not_value_for_money,value_for_money,expensive_for_3_star_hotel,,Yes,Yes,,Yes
40,no_evident_not_good_facility_for_tariff_charge,good_facility_for_tariff_charge,unlabeled_shampoo_dispenser_for_this_price,,Yes,Yes,,Yes
41,no_evident_not_good_facility_for_tariff_charge,good_facility_for_tariff_charge,shampoo_seem_cheap_considering_hotel_cost,,Yes,Yes,,Yes
42,no_evident_not_good_facility_for_tariff_charge,good_facility_for_tariff_charge,guesthouse_but_price_like_hotel,,Yes,Yes,,Yes
43,no_evident_not_good_facility_for_tariff_charge,good_facility_for_tariff_charge,for_money_you_pay_you_get_one_small_water_bottle,,Yes,Yes,,Yes
44,no_evident_not_good_facility_for_tariff_charge,good_facility_for_tariff_charge,expensive_for_what_you_get,,Yes,Yes,,Yes
45,no_evident_not_good_facility_for_tariff_charge,good_facility_for_tariff_charge,expensive_rate_for_what_offer,,Yes,Yes,,Yes
46,no_evident_not_good_facility_for_tariff_charge,good_facility_for_tariff_charge,overpriced_for_facility,,Yes,Yes,,Yes
47,no_evident_not_good_facility_for_tariff_charge,good_facility_for_tariff_charge,meal_not_include_in_price,,Yes,Yes,,Yes
48,no_evident_not_good_facility_for_tariff_charge,good_facility_for_tariff_charge,high_price_for_not_enough_comfort_room,,Yes,Yes,,Yes
49,no_evident_not_good_facility_for_tariff_charge,good_facility_for_tariff_charge,high_price_for_small_room,,Yes,Yes,,Yes
50,no_evident_not_good_facility_for_tariff_charge,good_facility_for_tariff_charge,expensive_hotel,,No,No,,No
51,no_evident_not_good_facility_for_tariff_charge,good_facility_for_tariff_charge,expensive_for_average_hotel,,Yes,Yes,,Yes
52,no_evident_not_good_facility_for_tariff_charge,good_facility_for_tariff_charge,expensive_for_3_star_hotel,,Yes,Yes,,Yes
53,no_evident_not_great_value_for_money,great_value_for_money,unlabeled_shampoo_dispenser_for_this_price,,Yes,Yes,,Yes
54,no_evident_not_great_value_for_money,great_value_for_money,shampoo_seem_cheap_considering_hotel_cost,,Yes,Yes,,Yes
55,no_evident_not_great_value_for_money,great_value_for_money,guesthouse_but_price_like_hotel,,Yes,Yes,,Yes
56,no_evident_not_great_value_for_money,great_value_for_money,for_money_you_pay_you_get_one_small_water_bottle,,Yes,Yes,,Yes
57,no_evident_not_great_value_for_money,great_value_for_money,expensive_for_what_you_get,,Yes,Yes,,Yes
58,no_evident_not_great_value_for_money,great_value_for_money,expensive_rate_for_what_offer,,Yes,Yes,,Yes
59,no_evident_not_great_value_for_money,great_value_for_money,overpriced_for_facility,,Yes,Yes,,Yes
60,no_evident_not_great_value_for_money,great_value_for_money,meal_not_include_in_price,,Yes,Yes,,Yes
61,no_evident_not_great_value_for_money,great_value_for_money,high_price_for_not_enough_comfort_room,,Yes,Yes,,Yes
62,no_evident_not_great_value_for_money,great_value_for_money,high_price_for_small_room,,Yes,Yes,,Yes
63,no_evident_not_great_value_for_money,great_value_for_money,expensive_hotel,,No,No,,No
64,no_evident_not_great_value_for_money,great_value_for_money,expensive_for_average_hotel,,Yes,Yes,,Yes
65,no_evident_not_great_value_for_money,great_value_for_money,expensive_for_3_star_hotel,,Yes,Yes,,Yes
66,no_evident_not_good_value_for_money,good_value_for_money,unlabeled_shampoo_dispenser_for_this_price,,Yes,Yes,,Yes
67,no_evident_not_good_value_for_money,good_value_for_money,shampoo_seem_cheap_considering_hotel_cost,,Yes,Yes,,Yes
68,no_evident_not_good_value_for_money,good_value_for_money,guesthouse_but_price_like_hotel,,Yes,Yes,,Yes
69,no_evident_not_good_value_for_money,good_value_for_money,for_money_you_pay_you_get_one_small_water_bottle,,Yes,Yes,,Yes
70,no_evident_not_good_value_for_money,good_value_for_money,expensive_for_what_you_get,,Yes,Yes,,Yes
71,no_evident_not_good_value_for_money,good_value_for_money,expensive_rate_for_what_offer,,Yes,Yes,,Yes
72,no_evident_not_good_value_for_money,good_value_for_money,overpriced_for_facility,,Yes,Yes,,Yes
73,no_evident_not_good_value_for_money,good_value_for_money,meal_not_include_in_price,,Yes,Yes,,Yes
74,no_evident_not_good_value_for_money,good_value_for_money,high_price_for_not_enough_comfort_room,,Yes,Yes,,Yes
75,no_evident_not_good_value_for_money,good_value_for_money,high_price_for_small_room,,Yes,Yes,,Yes
76,no_evident_not_good_value_for_money,good_value_for_money,expensive_hotel,,No,No,,No
77,no_evident_not_good_value_for_money,good_value_for_money,expensive_for_average_hotel,,Yes,Yes,,Yes
78,no_evident_not_good_value_for_money,good_value_for_money,expensive_for_3_star_hotel,,Yes,Yes,,Yes
79,no_evident_not_exceptional_value,exceptional_value,unlabeled_shampoo_dispenser_for_this_price,,Yes,Yes,,Yes
80,no_evident_not_exceptional_value,exceptional_value,shampoo_seem_cheap_considering_hotel_cost,,Yes,Yes,,Yes
81,no_evident_not_exceptional_value,exceptional_value,guesthouse_but_price_like_hotel,,Yes,Yes,,Yes
82,no_evident_not_exceptional_value,exceptional_value,for_money_you_pay_you_get_one_small_water_bottle,,Yes,Yes,,Yes
83,no_evident_not_exceptional_value,exceptional_value,expensive_for_what_you_get,,Yes,Yes,,Yes
84,no_evident_not_exceptional_value,exceptional_value,expensive_rate_for_what_offer,,Yes,Yes,,Yes
85,no_evident_not_exceptional_value,exceptional_value,overpriced_for_facility,,Yes,Yes,,Yes
86,no_evident_not_exceptional_value,exceptional_value,meal_not_include_in_price,,Yes,Yes,,Yes
87,no_evident_not_exceptional_value,exceptional_value,high_price_for_not_enough_comfort_room,,Yes,Yes,,Yes
88,no_evident_not_exceptional_value,exceptional_value,high_price_for_small_room,,Yes,Yes,,Yes
89,no_evident_not_exceptional_value,exceptional_value,expensive_hotel,No,No,Yes,,No
90,no_evident_not_exceptional_value,exceptional_value,expensive_for_average_hotel,,Yes,Yes,,Yes
91,no_evident_not_exceptional_value,exceptional_value,expensive_for_3_star_hotel,,Yes,Yes,,Yes
92,no_evident_not_good_value,good_value,unlabeled_shampoo_dispenser_for_this_price,,Yes,Yes,,Yes
93,no_evident_not_good_value,good_value,shampoo_seem_cheap_considering_hotel_cost,,Yes,Yes,,Yes
94,no_evident_not_good_value,good_value,guesthouse_but_price_like_hotel,,Yes,Yes,,Yes
95,no_evident_not_good_value,good_value,for_money_you_pay_you_get_one_small_water_bottle,,Yes,Yes,,Yes
96,no_evident_not_good_value,good_value,expensive_for_what_you_get,,Yes,Yes,,Yes
97,no_evident_not_good_value,good_value,expensive_rate_for_what_offer,,Yes,Yes,,Yes
98,no_evident_not_good_value,good_value,overpriced_for_facility,,Yes,Yes,,Yes
99,no_evident_not_good_value,good_value,meal_not_include_in_price,,Yes,Yes,,Yes
100,no_evident_not_good_value,good_value,high_price_for_not_enough_comfort_room,,Yes,Yes,,Yes
101,no_evident_not_good_value,good_value,high_price_for_small_room,,Yes,Yes,,Yes
102,no_evident_not_good_value,good_value,expensive_hotel,No,No,Yes,,No
103,no_evident_not_good_value,good_value,expensive_for_average_hotel,,Yes,Yes,,Yes
104,no_evident_not_good_value,good_value,expensive_for_3_star_hotel,,Yes,Yes,,Yes
105,no_evident_not_reasonable_price,reasonable_price,unlabeled_shampoo_dispenser_for_this_price,,Yes,Yes,,Yes
106,no_evident_not_reasonable_price,reasonable_price,shampoo_seem_cheap_considering_hotel_cost,,Yes,Yes,,Yes
107,no_evident_not_reasonable_price,reasonable_price,guesthouse_but_price_like_hotel,,Yes,Yes,,Yes
108,no_evident_not_reasonable_price,reasonable_price,for_money_you_pay_you_get_one_small_water_bottle,,Yes,Yes,,Yes
109,no_evident_not_reasonable_price,reasonable_price,expensive_for_what_you_get,,Yes,Yes,,Yes
110,no_evident_not_reasonable_price,reasonable_price,expensive_rate_for_what_offer,,Yes,Yes,,Yes
111,no_evident_not_reasonable_price,reasonable_price,overpriced_for_facility,,Yes,Yes,,Yes
112,no_evident_not_reasonable_price,reasonable_price,meal_not_include_in_price,,Yes,Yes,,Yes
113,no_evident_not_reasonable_price,reasonable_price,high_price_for_not_enough_comfort_room,,Yes,Yes,,Yes
114,no_evident_not_reasonable_price,reasonable_price,high_price_for_small_room,,Yes,Yes,,Yes
115,no_evident_not_reasonable_price,reasonable_price,expensive_hotel,,Yes,Yes,,Yes
116,no_evident_not_reasonable_price,reasonable_price,expensive_for_average_hotel,,Yes,Yes,,Yes
117,no_evident_not_reasonable_price,reasonable_price,expensive_for_3_star_hotel,,Yes,Yes,,Yes
118,no_evident_not_beautiful_hotel_for_cheap_price,beautiful_hotel_for_cheap_price,unlabeled_shampoo_dispenser_for_this_price,,No,No,,No
119,no_evident_not_beautiful_hotel_for_cheap_price,beautiful_hotel_for_cheap_price,shampoo_seem_cheap_considering_hotel_cost,,No,No,,No
120,no_evident_not_beautiful_hotel_for_cheap_price,beautiful_hotel_for_cheap_price,guesthouse_but_price_like_hotel,,No,No,,No
121,no_evident_not_beautiful_hotel_for_cheap_price,beautiful_hotel_for_cheap_price,for_money_you_pay_you_get_one_small_water_bottle,,No,No,,No
122,no_evident_not_beautiful_hotel_for_cheap_price,beautiful_hotel_for_cheap_price,expensive_for_what_you_get,,Yes,Yes,,Yes
123,no_evident_not_beautiful_hotel_for_cheap_price,beautiful_hotel_for_cheap_price,expensive_rate_for_what_offer,,Yes,Yes,,Yes
124,no_evident_not_beautiful_hotel_for_cheap_price,beautiful_hotel_for_cheap_price,overpriced_for_facility,,Yes,Yes,,Yes
125,no_evident_not_beautiful_hotel_for_cheap_price,beautiful_hotel_for_cheap_price,meal_not_include_in_price,,No,No,,No
126,no_evident_not_beautiful_hotel_for_cheap_price,beautiful_hotel_for_cheap_price,high_price_for_not_enough_comfort_room,,No,No,,No
127,no_evident_not_beautiful_hotel_for_cheap_price,beautiful_hotel_for_cheap_price,high_price_for_small_room,,No,No,,No
128,no_evident_not_beautiful_hotel_for_cheap_price,beautiful_hotel_for_cheap_price,expensive_hotel,,Yes,Yes,,Yes
129,no_evident_not_beautiful_hotel_for_cheap_price,beautiful_hotel_for_cheap_price,expensive_for_average_hotel,,Yes,Yes,,Yes
130,no_evident_not_beautiful_hotel_for_cheap_price,beautiful_hotel_for_cheap_price,expensive_for_3_star_hotel,,Yes,Yes,,Yes
131,no_evident_not_great_for_price,great_for_price,unlabeled_shampoo_dispenser_for_this_price,,Yes,Yes,,Yes
132,no_evident_not_great_for_price,great_for_price,shampoo_seem_cheap_considering_hotel_cost,,Yes,Yes,,Yes
133,no_evident_not_great_for_price,great_for_price,guesthouse_but_price_like_hotel,,Yes,Yes,,Yes
134,no_evident_not_great_for_price,great_for_price,for_money_you_pay_you_get_one_small_water_bottle,,Yes,Yes,,Yes
135,no_evident_not_great_for_price,great_for_price,expensive_for_what_you_get,,Yes,Yes,,Yes
136,no_evident_not_great_for_price,great_for_price,expensive_rate_for_what_offer,,Yes,Yes,,Yes
137,no_evident_not_great_for_price,great_for_price,overpriced_for_facility,,Yes,Yes,,Yes
138,no_evident_not_great_for_price,great_for_price,meal_not_include_in_price,,Yes,Yes,,Yes
139,no_evident_not_great_for_price,great_for_price,high_price_for_not_enough_comfort_room,,Yes,Yes,,Yes
140,no_evident_not_great_for_price,great_for_price,high_price_for_small_room,,Yes,Yes,,Yes
141,no_evident_not_great_for_price,great_for_price,expensive_hotel,,No,No,,No
142,no_evident_not_great_for_price,great_for_price,expensive_for_average_hotel,,Yes,Yes,,Yes
143,no_evident_not_great_for_price,great_for_price,expensive_for_3_star_hotel,,Yes,Yes,,Yes
144,no_evident_not_excellent_value_for_money,excellent_value_for_money,unlabeled_shampoo_dispenser_for_this_price,,Yes,Yes,,Yes
145,no_evident_not_excellent_value_for_money,excellent_value_for_money,shampoo_seem_cheap_considering_hotel_cost,,Yes,Yes,,Yes
146,no_evident_not_excellent_value_for_money,excellent_value_for_money,guesthouse_but_price_like_hotel,,Yes,Yes,,Yes
147,no_evident_not_excellent_value_for_money,excellent_value_for_money,for_money_you_pay_you_get_one_small_water_bottle,,Yes,Yes,,Yes
148,no_evident_not_excellent_value_for_money,excellent_value_for_money,expensive_for_what_you_get,,Yes,Yes,,Yes
149,no_evident_not_excellent_value_for_money,excellent_value_for_money,expensive_rate_for_what_offer,,Yes,Yes,,Yes
150,no_evident_not_excellent_value_for_money,excellent_value_for_money,overpriced_for_facility,,Yes,Yes,,Yes
151,no_evident_not_excellent_value_for_money,excellent_value_for_money,meal_not_include_in_price,,Yes,Yes,,Yes
152,no_evident_not_excellent_value_for_money,excellent_value_for_money,high_price_for_not_enough_comfort_room,,Yes,Yes,,Yes
153,no_evident_not_excellent_value_for_money,excellent_value_for_money,high_price_for_small_room,,Yes,Yes,,Yes
154,no_evident_not_excellent_value_for_money,excellent_value_for_money,expensive_hotel,,No,No,,No
155,no_evident_not_excellent_value_for_money,excellent_value_for_money,expensive_for_average_hotel,,Yes,Yes,,Yes
156,no_evident_not_excellent_value_for_money,excellent_value_for_money,expensive_for_3_star_hotel,,Yes,Yes,,Yes
157,no_evident_not_worth_price,worth_price,unlabeled_shampoo_dispenser_for_this_price,,Yes,Yes,,Yes
158,no_evident_not_worth_price,worth_price,shampoo_seem_cheap_considering_hotel_cost,,Yes,Yes,,Yes
159,no_evident_not_worth_price,worth_price,guesthouse_but_price_like_hotel,,Yes,Yes,,Yes
160,no_evident_not_worth_price,worth_price,for_money_you_pay_you_get_one_small_water_bottle,,Yes,Yes,,Yes
161,no_evident_not_worth_price,worth_price,expensive_for_what_you_get,,Yes,Yes,,Yes
162,no_evident_not_worth_price,worth_price,expensive_rate_for_what_offer,,Yes,Yes,,Yes
163,no_evident_not_worth_price,worth_price,overpriced_for_facility,,Yes,Yes,,Yes
164,no_evident_not_worth_price,worth_price,meal_not_include_in_price,,Yes,Yes,,Yes
165,no_evident_not_worth_price,worth_price,high_price_for_not_enough_comfort_room,,Yes,Yes,,Yes
166,no_evident_not_worth_price,worth_price,high_price_for_small_room,,Yes,Yes,,Yes
167,no_evident_not_worth_price,worth_price,expensive_hotel,,No,No,,No
168,no_evident_not_worth_price,worth_price,expensive_for_average_hotel,,Yes,Yes,,Yes
169,no_evident_not_worth_price,worth_price,expensive_for_3_star_hotel,,Yes,Yes,,Yes
170,no_evident_not_cheap,cheap,unlabeled_shampoo_dispenser_for_this_price,,Yes,Yes,,Yes
171,no_evident_not_cheap,cheap,shampoo_seem_cheap_considering_hotel_cost,,Yes,Yes,,Yes
172,no_evident_not_cheap,cheap,guesthouse_but_price_like_hotel,,Yes,Yes,,Yes
173,no_evident_not_cheap,cheap,for_money_you_pay_you_get_one_small_water_bottle,No,No,Yes,,No
174,no_evident_not_cheap,cheap,expensive_for_what_you_get,,Yes,Yes,,Yes
175,no_evident_not_cheap,cheap,expensive_rate_for_what_offer,,Yes,Yes,,Yes
176,no_evident_not_cheap,cheap,overpriced_for_facility,,Yes,Yes,,Yes
177,no_evident_not_cheap,cheap,meal_not_include_in_price,,No,No,,No
178,no_evident_not_cheap,cheap,high_price_for_not_enough_comfort_room,,Yes,Yes,,Yes
179,no_evident_not_cheap,cheap,high_price_for_small_room,,Yes,Yes,,Yes
180,no_evident_not_cheap,cheap,expensive_hotel,,Yes,Yes,,Yes
181,no_evident_not_cheap,cheap,expensive_for_average_hotel,,Yes,Yes,,Yes
182,no_evident_not_cheap,cheap,expensive_for_3_star_hotel,,Yes,Yes,,Yes
183,no_evident_not_good_rate_for_excellent_accommodation,good_rate_for_excellent_accommodation,unlabeled_shampoo_dispenser_for_this_price,,Yes,Yes,,Yes
184,no_evident_not_good_rate_for_excellent_accommodation,good_rate_for_excellent_accommodation,shampoo_seem_cheap_considering_hotel_cost,,Yes,Yes,,Yes
185,no_evident_not_good_rate_for_excellent_accommodation,good_rate_for_excellent_accommodation,guesthouse_but_price_like_hotel,,Yes,Yes,,Yes
186,no_evident_not_good_rate_for_excellent_accommodation,good_rate_for_excellent_accommodation,for_money_you_pay_you_get_one_small_water_bottle,,Yes,Yes,,Yes
187,no_evident_not_good_rate_for_excellent_accommodation,good_rate_for_excellent_accommodation,expensive_for_what_you_get,,Yes,Yes,,Yes
188,no_evident_not_good_rate_for_excellent_accommodation,good_rate_for_excellent_accommodation,expensive_rate_for_what_offer,,Yes,Yes,,Yes
189,no_evident_not_good_rate_for_excellent_accommodation,good_rate_for_excellent_accommodation,overpriced_for_facility,,Yes,Yes,,Yes
190,no_evident_not_good_rate_for_excellent_accommodation,good_rate_for_excellent_accommodation,meal_not_include_in_price,,Yes,Yes,,Yes
191,no_evident_not_good_rate_for_excellent_accommodation,good_rate_for_excellent_accommodation,high_price_for_not_enough_comfort_room,,Yes,Yes,,Yes
192,no_evident_not_good_rate_for_excellent_accommodation,good_rate_for_excellent_accommodation,high_price_for_small_room,,Yes,Yes,,Yes
193,no_evident_not_good_rate_for_excellent_accommodation,good_rate_for_excellent_accommodation,expensive_hotel,,Yes,Yes,,Yes
194,no_evident_not_good_rate_for_excellent_accommodation,good_rate_for_excellent_accommodation,expensive_for_average_hotel,,Yes,Yes,,Yes
195,no_evident_not_good_rate_for_excellent_accommodation,good_rate_for_excellent_accommodation,expensive_for_3_star_hotel,,Yes,Yes,,Yes
196,no_evident_not_good_hotel_for_ £50_per_night,good_hotel_for_ £50_per_night,unlabeled_shampoo_dispenser_for_this_price,,Yes,Yes,,Yes
197,no_evident_not_good_hotel_for_ £50_per_night,good_hotel_for_ £50_per_night,shampoo_seem_cheap_considering_hotel_cost,,Yes,Yes,,Yes
198,no_evident_not_good_hotel_for_ £50_per_night,good_hotel_for_ £50_per_night,guesthouse_but_price_like_hotel,,Yes,Yes,,Yes
199,no_evident_not_good_hotel_for_ £50_per_night,good_hotel_for_ £50_per_night,for_money_you_pay_you_get_one_small_water_bottle,,Yes,Yes,,Yes
200,no_evident_not_good_hotel_for_ £50_per_night,good_hotel_for_ £50_per_night,expensive_for_what_you_get,,Yes,Yes,,Yes
201,no_evident_not_good_hotel_for_ £50_per_night,good_hotel_for_ £50_per_night,expensive_rate_for_what_offer,,Yes,Yes,,Yes
202,no_evident_not_good_hotel_for_ £50_per_night,good_hotel_for_ £50_per_night,overpriced_for_facility,,Yes,Yes,,Yes
203,no_evident_not_good_hotel_for_ £50_per_night,good_hotel_for_ £50_per_night,meal_not_include_in_price,No,No,Yes,,No
204,no_evident_not_good_hotel_for_ £50_per_night,good_hotel_for_ £50_per_night,high_price_for_not_enough_comfort_room,,Yes,Yes,,Yes
205,no_evident_not_good_hotel_for_ £50_per_night,good_hotel_for_ £50_per_night,high_price_for_small_room,,Yes,Yes,,Yes
206,no_evident_not_good_hotel_for_ £50_per_night,good_hotel_for_ £50_per_night,expensive_hotel,,Yes,Yes,,Yes
207,no_evident_not_good_hotel_for_ £50_per_night,good_hotel_for_ £50_per_night,expensive_for_average_hotel,,Yes,Yes,,Yes
208,no_evident_not_good_hotel_for_ £50_per_night,good_hotel_for_ £50_per_night,expensive_for_3_star_hotel,,Yes,Yes,,Yes
209,no_evident_not_room_excellent_value_for_money,room_excellent_value_for_money,unlabeled_shampoo_dispenser_for_this_price,,Yes,Yes,,Yes
210,no_evident_not_room_excellent_value_for_money,room_excellent_value_for_money,shampoo_seem_cheap_considering_hotel_cost,,Yes,Yes,,Yes
211,no_evident_not_room_excellent_value_for_money,room_excellent_value_for_money,guesthouse_but_price_like_hotel,,Yes,Yes,,Yes
212,no_evident_not_room_excellent_value_for_money,room_excellent_value_for_money,for_money_you_pay_you_get_one_small_water_bottle,,Yes,Yes,,Yes
213,no_evident_not_room_excellent_value_for_money,room_excellent_value_for_money,expensive_for_what_you_get,,Yes,Yes,,Yes
214,no_evident_not_room_excellent_value_for_money,room_excellent_value_for_money,expensive_rate_for_what_offer,,Yes,Yes,,Yes
215,no_evident_not_room_excellent_value_for_money,room_excellent_value_for_money,overpriced_for_facility,Yes,Yes,Yes,,Yes
216,no_evident_not_room_excellent_value_for_money,room_excellent_value_for_money,meal_not_include_in_price,Yes,No,Yes,,Yes
217,no_evident_not_room_excellent_value_for_money,room_excellent_value_for_money,high_price_for_not_enough_comfort_room,,Yes,Yes,,Yes
218,no_evident_not_room_excellent_value_for_money,room_excellent_value_for_money,high_price_for_small_room,,Yes,Yes,,Yes
219,no_evident_not_room_excellent_value_for_money,room_excellent_value_for_money,expensive_hotel,,No,No,,No
220,no_evident_not_room_excellent_value_for_money,room_excellent_value_for_money,expensive_for_average_hotel,,Yes,Yes,,Yes
221,no_evident_not_room_excellent_value_for_money,room_excellent_value_for_money,expensive_for_3_star_hotel,,Yes,Yes,,Yes
222,no_evident_not_location_excellent_value_for_money,location_excellent_value_for_money,unlabeled_shampoo_dispenser_for_this_price,,No,No,,No
223,no_evident_not_location_excellent_value_for_money,location_excellent_value_for_money,shampoo_seem_cheap_considering_hotel_cost,,No,No,,No
224,no_evident_not_location_excellent_value_for_money,location_excellent_value_for_money,guesthouse_but_price_like_hotel,,No,No,,No
225,no_evident_not_location_excellent_value_for_money,location_excellent_value_for_money,for_money_you_pay_you_get_one_small_water_bottle,,No,No,,No
226,no_evident_not_location_excellent_value_for_money,location_excellent_value_for_money,expensive_for_what_you_get,,No,No,,No
227,no_evident_not_location_excellent_value_for_money,location_excellent_value_for_money,expensive_rate_for_what_offer,,No,No,,No
228,no_evident_not_location_excellent_value_for_money,location_excellent_value_for_money,overpriced_for_facility,,No,No,,No
229,no_evident_not_location_excellent_value_for_money,location_excellent_value_for_money,meal_not_include_in_price,,No,No,,No
230,no_evident_not_location_excellent_value_for_money,location_excellent_value_for_money,high_price_for_not_enough_comfort_room,,No,No,,No
231,no_evident_not_location_excellent_value_for_money,location_excellent_value_for_money,high_price_for_small_room,,No,No,,No
232,no_evident_not_location_excellent_value_for_money,location_excellent_value_for_money,expensive_hotel,,No,No,,No
233,no_evident_not_location_excellent_value_for_money,location_excellent_value_for_money,expensive_for_average_hotel,No,No,Yes,,No
234,no_evident_not_location_excellent_value_for_money,location_excellent_value_for_money,expensive_for_3_star_hotel,No,No,Yes,,No
235,no_evident_not_worth_every_Euro_spend,worth_every_Euro_spend,unlabeled_shampoo_dispenser_for_this_price,,Yes,Yes,,Yes
236,no_evident_not_worth_every_Euro_spend,worth_every_Euro_spend,shampoo_seem_cheap_considering_hotel_cost,,Yes,Yes,,Yes
237,no_evident_not_worth_every_Euro_spend,worth_every_Euro_spend,guesthouse_but_price_like_hotel,,Yes,Yes,,Yes
238,no_evident_not_worth_every_Euro_spend,worth_every_Euro_spend,for_money_you_pay_you_get_one_small_water_bottle,,Yes,Yes,,Yes
239,no_evident_not_worth_every_Euro_spend,worth_every_Euro_spend,expensive_for_what_you_get,,Yes,Yes,,Yes
240,no_evident_not_worth_every_Euro_spend,worth_every_Euro_spend,expensive_rate_for_what_offer,,Yes,Yes,,Yes
241,no_evident_not_worth_every_Euro_spend,worth_every_Euro_spend,overpriced_for_facility,,Yes,Yes,,Yes
242,no_evident_not_worth_every_Euro_spend,worth_every_Euro_spend,meal_not_include_in_price,,Yes,Yes,,Yes
243,no_evident_not_worth_every_Euro_spend,worth_every_Euro_spend,high_price_for_not_enough_comfort_room,,Yes,Yes,,Yes
244,no_evident_not_worth_every_Euro_spend,worth_every_Euro_spend,high_price_for_small_room,,Yes,Yes,,Yes
245,no_evident_not_worth_every_Euro_spend,worth_every_Euro_spend,expensive_hotel,,No,No,,No
246,no_evident_not_worth_every_Euro_spend,worth_every_Euro_spend,expensive_for_average_hotel,,Yes,Yes,,Yes
247,no_evident_not_worth_every_Euro_spend,worth_every_Euro_spend,expensive_for_3_star_hotel,,Yes,Yes,,Yes
248,no_evident_not_economic_price,economic_price,unlabeled_shampoo_dispenser_for_this_price,,Yes,Yes,,Yes
249,no_evident_not_economic_price,economic_price,shampoo_seem_cheap_considering_hotel_cost,,Yes,Yes,,Yes
250,no_evident_not_economic_price,economic_price,guesthouse_but_price_like_hotel,,Yes,Yes,,Yes
