ID,Original Assumption,Assumption,Proposition,is phrase B contain any Contrary to phrase A? by maya,is phrase B contain any Contrary to phrase A? by Watanee,is phrase B contain any Contrary to phrase A? by YY,is phrase B contain any Contrary to phrase A? by Nonraphan,is phrase B contain any Contrary to phrase A? by Phanphum,is phrase B contain any Contrary to phrase A? by Nimmida,Vote
34,no_evident_not_easy_to_communicate_with,easy_to_communicate_with,staff_cannot_provide_double_bed,Yes,,Yes,No,No,Yes,Yes
35,no_evident_not_easy_to_communicate_with,easy_to_communicate_with,offended_staff,Yes,,No,No,No,,No
36,no_evident_not_easy_to_communicate_with,easy_to_communicate_with,staff_not_justify_booking_issue,Yes,,No,Yes,Yes,,Yes
37,no_evident_not_easy_to_communicate_with,easy_to_communicate_with,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,Yes,,Yes,No,No,Yes,Yes
38,no_evident_not_easy_to_communicate_with,easy_to_communicate_with,staff_enforce_cancellation_charge,Yes,,Yes,No,No,Yes,Yes
39,no_evident_not_easy_to_communicate_with,easy_to_communicate_with,staff_mistakenly_throw_valuable_item_during_cleaning_service,Yes,,No,No,Yes,Yes,Yes
40,no_evident_not_easy_to_communicate_with,easy_to_communicate_with,staff_not_provide_good_solution,Yes,,No,Yes,Yes,,Yes
41,no_evident_not_easy_to_communicate_with,easy_to_communicate_with,staff_has_unaceptable_manner,Yes,,Yes,Yes,No,,Yes
42,no_evident_not_easy_to_communicate_with,easy_to_communicate_with,staff_not_speak_Cypriot_language,No,,No,Yes,Yes,Yes,Yes
43,no_evident_not_easy_to_communicate_with,easy_to_communicate_with,no_staff_at_night,Yes,,Yes,Yes,No,,Yes
44,no_evident_not_easy_to_communicate_with,easy_to_communicate_with,staff_not_understand_English_well,Yes,,Yes,Yes,Yes,,Yes
45,no_evident_not_easy_to_communicate_with,easy_to_communicate_with,staff_cannot_give_bus_to_airport_information,Yes,,No,No,Yes,Yes,Yes
46,no_evident_not_easy_to_communicate_with,easy_to_communicate_with,only_one_staff_wear_mask,Yes,,No,No,No,,No
47,no_evident_not_nice_staff,nice_staff,staff_not_speak_English_properly,Yes,,No,No,No,,No
48,no_evident_not_nice_staff,nice_staff,staff_clean_after_complaint,Yes,,No,No,No,,No
49,no_evident_not_nice_staff,nice_staff,staff_should_learn_better_English,No,,No,No,No,,No
50,no_evident_not_nice_staff,nice_staff,staff_need_improve_organization,Yes,,No,Yes,No,Yes,Yes
51,no_evident_not_nice_staff,nice_staff,staff_need_improve_collaboration,Yes,,No,Yes,No,Yes,Yes
52,no_evident_not_nice_staff,nice_staff,staff_need_keep_update,Yes,,No,No,No,,No
53,no_evident_not_nice_staff,nice_staff,not_kind_staff,Yes,,Yes,Yes,Yes,,Yes
54,no_evident_not_nice_staff,nice_staff,no_empathy_staff,Yes,,Yes,Yes,Yes,,Yes
55,no_evident_not_nice_staff,nice_staff,staff_fail_to_communicate_with_taxi,No,,No,No,No,,No
56,no_evident_not_nice_staff,nice_staff,staff_fail_to_guest_request,No,,No,Yes,No,,No
57,no_evident_not_nice_staff,nice_staff,staff_cannot_provide_double_bed,Yes,,No,No,No,,No
58,no_evident_not_nice_staff,nice_staff,offended_staff,Yes,,Yes,Yes,Yes,,Yes
59,no_evident_not_nice_staff,nice_staff,staff_not_justify_booking_issue,Yes,,Yes,Yes,Yes,,Yes
60,no_evident_not_nice_staff,nice_staff,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,Yes,,Yes,Yes,Yes,,Yes
61,no_evident_not_nice_staff,nice_staff,staff_enforce_cancellation_charge,Yes,,Yes,Yes,No,,Yes
62,no_evident_not_nice_staff,nice_staff,staff_mistakenly_throw_valuable_item_during_cleaning_service,Yes,,Yes,Yes,Yes,,Yes
63,no_evident_not_nice_staff,nice_staff,staff_not_provide_good_solution,Yes,,Yes,Yes,No,,Yes
64,no_evident_not_nice_staff,nice_staff,staff_has_unaceptable_manner,Yes,,Yes,Yes,Yes,,Yes
65,no_evident_not_nice_staff,nice_staff,staff_not_speak_Cypriot_language,No,,No,Yes,No,,No
66,no_evident_not_nice_staff,nice_staff,no_staff_at_night,No,,No,No,No,,No
67,no_evident_not_nice_staff,nice_staff,staff_not_understand_English_well,Yes,,No,Yes,No,No,No
68,no_evident_not_nice_staff,nice_staff,staff_cannot_give_bus_to_airport_information,Yes,,Yes,Yes,No,,Yes
69,no_evident_not_nice_staff,nice_staff,only_one_staff_wear_mask,Yes,,No,Yes,No,No,No
70,no_evident_not_great_staff,great_staff,staff_not_speak_English_properly,Yes,,Yes,Yes,Yes,,Yes
71,no_evident_not_great_staff,great_staff,staff_clean_after_complaint,Yes,,No,No,No,,No
72,no_evident_not_great_staff,great_staff,staff_should_learn_better_English,No,,Yes,Yes,Yes,,Yes
73,no_evident_not_great_staff,great_staff,staff_need_improve_organization,No,,Yes,Yes,Yes,,Yes
74,no_evident_not_great_staff,great_staff,staff_need_improve_collaboration,No,,Yes,Yes,Yes,,Yes
75,no_evident_not_great_staff,great_staff,staff_need_keep_update,No,,Yes,Yes,Yes,,Yes
76,no_evident_not_great_staff,great_staff,not_kind_staff,Yes,,Yes,Yes,No,,Yes
77,no_evident_not_great_staff,great_staff,no_empathy_staff,Yes,,Yes,Yes,No,,Yes
78,no_evident_not_great_staff,great_staff,staff_fail_to_communicate_with_taxi,Yes,,Yes,Yes,Yes,,Yes
79,no_evident_not_great_staff,great_staff,staff_fail_to_guest_request,Yes,,Yes,Yes,Yes,,Yes
80,no_evident_not_great_staff,great_staff,staff_cannot_provide_double_bed,Yes,,Yes,Yes,No,,Yes
81,no_evident_not_great_staff,great_staff,offended_staff,Yes,,Yes,Yes,Yes,,Yes
82,no_evident_not_great_staff,great_staff,staff_not_justify_booking_issue,Yes,,Yes,Yes,Yes,,Yes
83,no_evident_not_great_staff,great_staff,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,Yes,,Yes,Yes,Yes,,Yes
84,no_evident_not_great_staff,great_staff,staff_enforce_cancellation_charge,Yes,,Yes,Yes,No,,Yes
85,no_evident_not_great_staff,great_staff,staff_mistakenly_throw_valuable_item_during_cleaning_service,Yes,,Yes,Yes,Yes,,Yes
86,no_evident_not_great_staff,great_staff,staff_not_provide_good_solution,Yes,,Yes,Yes,Yes,,Yes
87,no_evident_not_great_staff,great_staff,staff_has_unaceptable_manner,Yes,,Yes,Yes,Yes,,Yes
88,no_evident_not_great_staff,great_staff,staff_not_speak_Cypriot_language,Yes,,No,Yes,Yes,,Yes
89,no_evident_not_great_staff,great_staff,no_staff_at_night,Yes,,No,No,No,,No
90,no_evident_not_great_staff,great_staff,staff_not_understand_English_well,Yes,,Yes,Yes,Yes,,Yes
91,no_evident_not_great_staff,great_staff,staff_cannot_give_bus_to_airport_information,Yes,,Yes,Yes,Yes,,Yes
92,no_evident_not_great_staff,great_staff,only_one_staff_wear_mask,Yes,,No,No,No,,No
93,no_evident_not_lovely_staff,lovely_staff,staff_not_speak_English_properly,No,,No,No,No,,No
94,no_evident_not_lovely_staff,lovely_staff,staff_clean_after_complaint,Yes,,No,No,No,,No
95,no_evident_not_lovely_staff,lovely_staff,staff_should_learn_better_English,No,,No,No,No,,No
96,no_evident_not_lovely_staff,lovely_staff,staff_need_improve_organization,No,,No,No,No,,No
97,no_evident_not_lovely_staff,lovely_staff,staff_need_improve_collaboration,Yes,,No,No,No,,No
98,no_evident_not_lovely_staff,lovely_staff,staff_need_keep_update,Yes,,No,No,No,,No
99,no_evident_not_lovely_staff,lovely_staff,not_kind_staff,Yes,,Yes,Yes,Yes,,Yes
100,no_evident_not_lovely_staff,lovely_staff,no_empathy_staff,Yes,,Yes,Yes,Yes,,Yes
101,no_evident_not_lovely_staff,lovely_staff,staff_fail_to_communicate_with_taxi,Yes,,No,No,No,,No
102,no_evident_not_lovely_staff,lovely_staff,staff_fail_to_guest_request,No,,No,Yes,No,,No
103,no_evident_not_lovely_staff,lovely_staff,staff_cannot_provide_double_bed,No,,No,Yes,No,,No
104,no_evident_not_lovely_staff,lovely_staff,offended_staff,Yes,,Yes,Yes,Yes,,Yes
105,no_evident_not_lovely_staff,lovely_staff,staff_not_justify_booking_issue,Yes,,Yes,Yes,No,,Yes
106,no_evident_not_lovely_staff,lovely_staff,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,Yes,,No,Yes,No,Yes,Yes
107,no_evident_not_lovely_staff,lovely_staff,staff_enforce_cancellation_charge,Yes,,Yes,Yes,No,,Yes
108,no_evident_not_lovely_staff,lovely_staff,staff_mistakenly_throw_valuable_item_during_cleaning_service,Yes,,No,No,No,,No
109,no_evident_not_lovely_staff,lovely_staff,staff_not_provide_good_solution,Yes,,Yes,Yes,No,,Yes
110,no_evident_not_lovely_staff,lovely_staff,staff_has_unaceptable_manner,Yes,,Yes,Yes,Yes,,Yes
111,no_evident_not_lovely_staff,lovely_staff,staff_not_speak_Cypriot_language,No,,No,No,No,,No
112,no_evident_not_lovely_staff,lovely_staff,no_staff_at_night,No,,No,No,No,,No
113,no_evident_not_lovely_staff,lovely_staff,staff_not_understand_English_well,No,,No,No,No,,No
114,no_evident_not_lovely_staff,lovely_staff,staff_cannot_give_bus_to_airport_information,No,,No,No,No,,No
115,no_evident_not_lovely_staff,lovely_staff,only_one_staff_wear_mask,Yes,,No,Yes,No,No,No
116,no_evident_not_staff_show_how_nearby_bus_take_to_town_center,staff_show_how_nearby_bus_take_to_town_center,staff_not_speak_English_properly,Yes,,No,Yes,No,No,No
117,no_evident_not_staff_show_how_nearby_bus_take_to_town_center,staff_show_how_nearby_bus_take_to_town_center,staff_clean_after_complaint,No,,No,No,No,,No
118,no_evident_not_staff_show_how_nearby_bus_take_to_town_center,staff_show_how_nearby_bus_take_to_town_center,staff_should_learn_better_English,No,,No,No,No,,No
119,no_evident_not_staff_show_how_nearby_bus_take_to_town_center,staff_show_how_nearby_bus_take_to_town_center,staff_need_improve_organization,No,,No,No,No,,No
120,no_evident_not_staff_show_how_nearby_bus_take_to_town_center,staff_show_how_nearby_bus_take_to_town_center,staff_need_improve_collaboration,No,,No,No,No,,No
121,no_evident_not_staff_show_how_nearby_bus_take_to_town_center,staff_show_how_nearby_bus_take_to_town_center,staff_need_keep_update,No,,No,No,No,,No
122,no_evident_not_staff_show_how_nearby_bus_take_to_town_center,staff_show_how_nearby_bus_take_to_town_center,not_kind_staff,Yes,,Yes,Yes,Yes,,Yes
123,no_evident_not_staff_show_how_nearby_bus_take_to_town_center,staff_show_how_nearby_bus_take_to_town_center,no_empathy_staff,No,,Yes,Yes,No,Yes,Yes
124,no_evident_not_staff_show_how_nearby_bus_take_to_town_center,staff_show_how_nearby_bus_take_to_town_center,staff_fail_to_communicate_with_taxi,Yes,,No,No,No,,No
125,no_evident_not_staff_show_how_nearby_bus_take_to_town_center,staff_show_how_nearby_bus_take_to_town_center,staff_fail_to_guest_request,No,,No,No,No,,No
126,no_evident_not_staff_show_how_nearby_bus_take_to_town_center,staff_show_how_nearby_bus_take_to_town_center,staff_cannot_provide_double_bed,No,,No,No,No,,No
127,no_evident_not_staff_show_how_nearby_bus_take_to_town_center,staff_show_how_nearby_bus_take_to_town_center,offended_staff,No,,Yes,Yes,No,Yes,Yes
128,no_evident_not_staff_show_how_nearby_bus_take_to_town_center,staff_show_how_nearby_bus_take_to_town_center,staff_not_justify_booking_issue,No,,No,No,No,,No
129,no_evident_not_staff_show_how_nearby_bus_take_to_town_center,staff_show_how_nearby_bus_take_to_town_center,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,No,,No,No,No,,No
130,no_evident_not_staff_show_how_nearby_bus_take_to_town_center,staff_show_how_nearby_bus_take_to_town_center,staff_enforce_cancellation_charge,No,,No,No,No,,No
131,no_evident_not_staff_show_how_nearby_bus_take_to_town_center,staff_show_how_nearby_bus_take_to_town_center,staff_mistakenly_throw_valuable_item_during_cleaning_service,No,,No,No,No,,No
132,no_evident_not_staff_show_how_nearby_bus_take_to_town_center,staff_show_how_nearby_bus_take_to_town_center,staff_not_provide_good_solution,Yes,,Yes,Yes,No,,Yes
133,no_evident_not_staff_show_how_nearby_bus_take_to_town_center,staff_show_how_nearby_bus_take_to_town_center,staff_has_unaceptable_manner,Yes,,Yes,Yes,No,,Yes
134,no_evident_not_staff_show_how_nearby_bus_take_to_town_center,staff_show_how_nearby_bus_take_to_town_center,staff_not_speak_Cypriot_language,No,,No,Yes,No,,No
135,no_evident_not_staff_show_how_nearby_bus_take_to_town_center,staff_show_how_nearby_bus_take_to_town_center,no_staff_at_night,Yes,,No,Yes,Yes,,Yes
136,no_evident_not_staff_show_how_nearby_bus_take_to_town_center,staff_show_how_nearby_bus_take_to_town_center,staff_not_understand_English_well,Yes,,No,Yes,No,No,No
137,no_evident_not_staff_show_how_nearby_bus_take_to_town_center,staff_show_how_nearby_bus_take_to_town_center,staff_cannot_give_bus_to_airport_information,Yes,,No,No,No,,No
138,no_evident_not_staff_show_how_nearby_bus_take_to_town_center,staff_show_how_nearby_bus_take_to_town_center,only_one_staff_wear_mask,Yes,,No,No,No,,No
139,no_evident_not_staff_show_how_nearby_bus_take_to_airport,staff_show_how_nearby_bus_take_to_airport,staff_not_speak_English_properly,Yes,,No,Yes,No,No,No
140,no_evident_not_staff_show_how_nearby_bus_take_to_airport,staff_show_how_nearby_bus_take_to_airport,staff_clean_after_complaint,No,,No,No,No,,No
141,no_evident_not_staff_show_how_nearby_bus_take_to_airport,staff_show_how_nearby_bus_take_to_airport,staff_should_learn_better_English,No,,No,Yes,No,,No
142,no_evident_not_staff_show_how_nearby_bus_take_to_airport,staff_show_how_nearby_bus_take_to_airport,staff_need_improve_organization,No,,No,No,No,,No
143,no_evident_not_staff_show_how_nearby_bus_take_to_airport,staff_show_how_nearby_bus_take_to_airport,staff_need_improve_collaboration,No,,No,No,No,,No
144,no_evident_not_staff_show_how_nearby_bus_take_to_airport,staff_show_how_nearby_bus_take_to_airport,staff_need_keep_update,No,,No,No,No,,No
145,no_evident_not_staff_show_how_nearby_bus_take_to_airport,staff_show_how_nearby_bus_take_to_airport,not_kind_staff,Yes,,Yes,Yes,Yes,,Yes
146,no_evident_not_staff_show_how_nearby_bus_take_to_airport,staff_show_how_nearby_bus_take_to_airport,no_empathy_staff,No,,Yes,Yes,No,Yes,Yes
147,no_evident_not_staff_show_how_nearby_bus_take_to_airport,staff_show_how_nearby_bus_take_to_airport,staff_fail_to_communicate_with_taxi,Yes,,No,No,No,,No
148,no_evident_not_staff_show_how_nearby_bus_take_to_airport,staff_show_how_nearby_bus_take_to_airport,staff_fail_to_guest_request,No,,No,Yes,No,,No
149,no_evident_not_staff_show_how_nearby_bus_take_to_airport,staff_show_how_nearby_bus_take_to_airport,staff_cannot_provide_double_bed,No,,No,No,No,,No
150,no_evident_not_staff_show_how_nearby_bus_take_to_airport,staff_show_how_nearby_bus_take_to_airport,offended_staff,No,,Yes,Yes,No,Yes,Yes
151,no_evident_not_staff_show_how_nearby_bus_take_to_airport,staff_show_how_nearby_bus_take_to_airport,staff_not_justify_booking_issue,No,,No,No,No,,No
152,no_evident_not_staff_show_how_nearby_bus_take_to_airport,staff_show_how_nearby_bus_take_to_airport,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,No,,No,No,No,,No
153,no_evident_not_staff_show_how_nearby_bus_take_to_airport,staff_show_how_nearby_bus_take_to_airport,staff_enforce_cancellation_charge,No,,No,No,No,,No
154,no_evident_not_staff_show_how_nearby_bus_take_to_airport,staff_show_how_nearby_bus_take_to_airport,staff_mistakenly_throw_valuable_item_during_cleaning_service,No,,No,No,No,,No
155,no_evident_not_staff_show_how_nearby_bus_take_to_airport,staff_show_how_nearby_bus_take_to_airport,staff_not_provide_good_solution,Yes,,Yes,Yes,No,,Yes
156,no_evident_not_staff_show_how_nearby_bus_take_to_airport,staff_show_how_nearby_bus_take_to_airport,staff_has_unaceptable_manner,Yes,,Yes,Yes,No,,Yes
157,no_evident_not_staff_show_how_nearby_bus_take_to_airport,staff_show_how_nearby_bus_take_to_airport,staff_not_speak_Cypriot_language,No,,No,Yes,No,,No
158,no_evident_not_staff_show_how_nearby_bus_take_to_airport,staff_show_how_nearby_bus_take_to_airport,no_staff_at_night,Yes,,No,Yes,Yes,,Yes
159,no_evident_not_staff_show_how_nearby_bus_take_to_airport,staff_show_how_nearby_bus_take_to_airport,staff_not_understand_English_well,Yes,,No,Yes,No,No,No
160,no_evident_not_staff_show_how_nearby_bus_take_to_airport,staff_show_how_nearby_bus_take_to_airport,staff_cannot_give_bus_to_airport_information,Yes,,Yes,Yes,Yes,,Yes
161,no_evident_not_staff_show_how_nearby_bus_take_to_airport,staff_show_how_nearby_bus_take_to_airport,only_one_staff_wear_mask,Yes,,No,No,No,,No
162,no_evident_not_amazing_staff,amazing_staff,staff_not_speak_English_properly,Yes,,Yes,Yes,Yes,,Yes
163,no_evident_not_amazing_staff,amazing_staff,staff_clean_after_complaint,Yes,,No,No,No,,No
164,no_evident_not_amazing_staff,amazing_staff,staff_should_learn_better_English,No,,Yes,Yes,Yes,,Yes
165,no_evident_not_amazing_staff,amazing_staff,staff_need_improve_organization,No,,Yes,Yes,Yes,,Yes
166,no_evident_not_amazing_staff,amazing_staff,staff_need_improve_collaboration,No,,Yes,Yes,Yes,,Yes
167,no_evident_not_amazing_staff,amazing_staff,staff_need_keep_update,No,,Yes,Yes,Yes,,Yes
168,no_evident_not_amazing_staff,amazing_staff,not_kind_staff,Yes,,Yes,Yes,Yes,,Yes
169,no_evident_not_amazing_staff,amazing_staff,no_empathy_staff,Yes,,Yes,Yes,Yes,,Yes
170,no_evident_not_amazing_staff,amazing_staff,staff_fail_to_communicate_with_taxi,Yes,,Yes,Yes,Yes,,Yes
171,no_evident_not_amazing_staff,amazing_staff,staff_fail_to_guest_request,Yes,,Yes,Yes,Yes,,Yes
172,no_evident_not_amazing_staff,amazing_staff,staff_cannot_provide_double_bed,Yes,,Yes,Yes,Yes,,Yes
173,no_evident_not_amazing_staff,amazing_staff,offended_staff,Yes,,Yes,Yes,Yes,,Yes
174,no_evident_not_amazing_staff,amazing_staff,staff_not_justify_booking_issue,Yes,,Yes,Yes,Yes,,Yes
175,no_evident_not_amazing_staff,amazing_staff,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,Yes,,Yes,Yes,Yes,,Yes
176,no_evident_not_amazing_staff,amazing_staff,staff_enforce_cancellation_charge,Yes,,Yes,Yes,No,,Yes
177,no_evident_not_amazing_staff,amazing_staff,staff_mistakenly_throw_valuable_item_during_cleaning_service,Yes,,No,Yes,Yes,,Yes
178,no_evident_not_amazing_staff,amazing_staff,staff_not_provide_good_solution,Yes,,Yes,Yes,Yes,,Yes
179,no_evident_not_amazing_staff,amazing_staff,staff_has_unaceptable_manner,Yes,,Yes,Yes,Yes,,Yes
180,no_evident_not_amazing_staff,amazing_staff,staff_not_speak_Cypriot_language,Yes,,No,Yes,Yes,,Yes
181,no_evident_not_amazing_staff,amazing_staff,no_staff_at_night,Yes,,No,Yes,No,Yes,Yes
182,no_evident_not_amazing_staff,amazing_staff,staff_not_understand_English_well,Yes,,Yes,Yes,Yes,,Yes
183,no_evident_not_amazing_staff,amazing_staff,staff_cannot_give_bus_to_airport_information,Yes,,Yes,Yes,Yes,,Yes
184,no_evident_not_amazing_staff,amazing_staff,only_one_staff_wear_mask,Yes,,No,No,No,,No
185,no_evident_not_beyond_expectation,beyond_expectation,staff_not_speak_English_properly,Yes,,Yes,Yes,Yes,,Yes
186,no_evident_not_beyond_expectation,beyond_expectation,staff_clean_after_complaint,Yes,,No,No,No,,No
187,no_evident_not_beyond_expectation,beyond_expectation,staff_should_learn_better_English,Yes,,Yes,Yes,Yes,,Yes
188,no_evident_not_beyond_expectation,beyond_expectation,staff_need_improve_organization,No,,Yes,Yes,Yes,,Yes
189,no_evident_not_beyond_expectation,beyond_expectation,staff_need_improve_collaboration,No,,Yes,Yes,Yes,,Yes
190,no_evident_not_beyond_expectation,beyond_expectation,staff_need_keep_update,Yes,,Yes,Yes,Yes,,Yes
191,no_evident_not_beyond_expectation,beyond_expectation,not_kind_staff,Yes,,Yes,Yes,Yes,,Yes
192,no_evident_not_beyond_expectation,beyond_expectation,no_empathy_staff,Yes,,Yes,Yes,Yes,,Yes
193,no_evident_not_beyond_expectation,beyond_expectation,staff_fail_to_communicate_with_taxi,Yes,,Yes,Yes,Yes,,Yes
194,no_evident_not_beyond_expectation,beyond_expectation,staff_fail_to_guest_request,Yes,,Yes,Yes,Yes,,Yes
195,no_evident_not_beyond_expectation,beyond_expectation,staff_cannot_provide_double_bed,Yes,,Yes,Yes,Yes,,Yes
196,no_evident_not_beyond_expectation,beyond_expectation,offended_staff,Yes,,Yes,Yes,Yes,,Yes
197,no_evident_not_beyond_expectation,beyond_expectation,staff_not_justify_booking_issue,Yes,,Yes,Yes,Yes,,Yes
198,no_evident_not_beyond_expectation,beyond_expectation,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,Yes,,Yes,Yes,Yes,,Yes
199,no_evident_not_beyond_expectation,beyond_expectation,staff_enforce_cancellation_charge,Yes,,Yes,Yes,No,,Yes
200,no_evident_not_beyond_expectation,beyond_expectation,staff_mistakenly_throw_valuable_item_during_cleaning_service,Yes,,Yes,Yes,Yes,,Yes
201,no_evident_not_beyond_expectation,beyond_expectation,staff_not_provide_good_solution,Yes,,Yes,Yes,Yes,,Yes
202,no_evident_not_beyond_expectation,beyond_expectation,staff_has_unaceptable_manner,Yes,,Yes,Yes,Yes,,Yes
203,no_evident_not_beyond_expectation,beyond_expectation,staff_not_speak_Cypriot_language,Yes,,Yes,Yes,Yes,,Yes
204,no_evident_not_beyond_expectation,beyond_expectation,no_staff_at_night,Yes,,Yes,Yes,No,,Yes
205,no_evident_not_beyond_expectation,beyond_expectation,staff_not_understand_English_well,Yes,,Yes,Yes,Yes,,Yes
206,no_evident_not_beyond_expectation,beyond_expectation,staff_cannot_give_bus_to_airport_information,Yes,,Yes,Yes,Yes,,Yes
207,no_evident_not_beyond_expectation,beyond_expectation,only_one_staff_wear_mask,Yes,,Yes,Yes,No,,Yes
208,no_evident_not_staff_take_time_to_explain,staff_take_time_to_explain,staff_not_speak_English_properly,Yes,,No,Yes,No,No,No
209,no_evident_not_staff_take_time_to_explain,staff_take_time_to_explain,staff_clean_after_complaint,Yes,,No,No,No,,No
210,no_evident_not_staff_take_time_to_explain,staff_take_time_to_explain,staff_should_learn_better_English,No,,No,No,No,,No
211,no_evident_not_staff_take_time_to_explain,staff_take_time_to_explain,staff_need_improve_organization,Yes,,,Yes,No,,Yes
212,no_evident_not_staff_take_time_to_explain,staff_take_time_to_explain,staff_need_improve_collaboration,Yes,,,Yes,No,,Yes
213,no_evident_not_staff_take_time_to_explain,staff_take_time_to_explain,staff_need_keep_update,Yes,,,Yes,No,,Yes
214,no_evident_not_staff_take_time_to_explain,staff_take_time_to_explain,not_kind_staff,Yes,,No,Yes,No,Yes,Yes
215,no_evident_not_staff_take_time_to_explain,staff_take_time_to_explain,no_empathy_staff,Yes,,No,Yes,No,Yes,Yes
216,no_evident_not_staff_take_time_to_explain,staff_take_time_to_explain,staff_fail_to_communicate_with_taxi,No,,,No,No,,No
217,no_evident_not_staff_take_time_to_explain,staff_take_time_to_explain,staff_fail_to_guest_request,No,,,No,No,,No
218,no_evident_not_staff_take_time_to_explain,staff_take_time_to_explain,staff_cannot_provide_double_bed,Yes,,,No,No,,No
