ID,Original A,A,B,is phrase B contain any Contrary to phrase A? by ???,is phrase B contain any Contrary to phrase A? by Nonraphan,is phrase B contain any Contrary to phrase A? by Nimmida,Vote
32,no_evident_not_easy_late_night_check-in,easy_late_night_check-in,door_lock_on_late_check-in,Yes,Yes,,Yes
33,no_evident_not_easy_late_night_check-in,easy_late_night_check-in,customer_wait_10_minute_for_greet,No,No,,No
34,no_evident_not_easy_late_night_check-in,easy_late_night_check-in,customer_wait_10_minute_for_check-in,No,Yes,Yes,Yes
35,no_evident_not_easy_late_night_check-in,easy_late_night_check-in,staff_misunderstand_on_payment,Yes,Yes,,Yes
36,no_evident_not_easy_late_night_check-in,easy_late_night_check-in,staff_take_picture_of_passport,Yes,No,No,No
37,no_evident_not_comfortable_late_night_check-in,comfortable_late_night_check-in,no_one_give_key_on_late_check-in,Yes,Yes,,Yes
38,no_evident_not_comfortable_late_night_check-in,comfortable_late_night_check-in,door_lock_on_late_check-in,Yes,Yes,,Yes
39,no_evident_not_comfortable_late_night_check-in,comfortable_late_night_check-in,customer_wait_10_minute_for_greet,Yes,Yes,,Yes
40,no_evident_not_comfortable_late_night_check-in,comfortable_late_night_check-in,customer_wait_10_minute_for_check-in,Yes,Yes,,Yes
41,no_evident_not_comfortable_late_night_check-in,comfortable_late_night_check-in,staff_misunderstand_on_payment,Yes,Yes,,Yes
42,no_evident_not_comfortable_late_night_check-in,comfortable_late_night_check-in,staff_take_picture_of_passport,Yes,Yes,,Yes
43,no_evident_not_easy_self_check-in,easy_self_check-in,no_one_give_key_on_late_check-in,No,Yes,No,No
44,no_evident_not_easy_self_check-in,easy_self_check-in,door_lock_on_late_check-in,No,Yes,No,No
45,no_evident_not_easy_self_check-in,easy_self_check-in,customer_wait_10_minute_for_greet,No,No,,No
46,no_evident_not_easy_self_check-in,easy_self_check-in,customer_wait_10_minute_for_check-in,No,Yes,No,No
47,no_evident_not_easy_self_check-in,easy_self_check-in,staff_misunderstand_on_payment,No,No,,No
48,no_evident_not_easy_self_check-in,easy_self_check-in,staff_take_picture_of_passport,No,No,,No
49,no_evident_not_quick_check-in,quick_check-in,no_one_give_key_on_late_check-in,No,Yes,No,No
50,no_evident_not_quick_check-in,quick_check-in,door_lock_on_late_check-in,No,Yes,No,No
51,no_evident_not_quick_check-in,quick_check-in,customer_wait_10_minute_for_greet,Yes,Yes,,Yes
52,no_evident_not_quick_check-in,quick_check-in,customer_wait_10_minute_for_check-in,Yes,Yes,,Yes
53,no_evident_not_quick_check-in,quick_check-in,staff_misunderstand_on_payment,Yes,Yes,,Yes
54,no_evident_not_quick_check-in,quick_check-in,staff_take_picture_of_passport,Yes,Yes,,Yes
55,no_evident_not_easy_check-in_at_3am,easy_check-in_at_3am,no_one_give_key_on_late_check-in,No,No,,No
56,no_evident_not_easy_check-in_at_3am,easy_check-in_at_3am,door_lock_on_late_check-in,Yes,No,Yes,Yes
57,no_evident_not_easy_check-in_at_3am,easy_check-in_at_3am,customer_wait_10_minute_for_greet,No,No,,No
58,no_evident_not_easy_check-in_at_3am,easy_check-in_at_3am,customer_wait_10_minute_for_check-in,No,Yes,Yes,Yes
59,no_evident_not_easy_check-in_at_3am,easy_check-in_at_3am,staff_misunderstand_on_payment,Yes,Yes,,Yes
60,no_evident_not_easy_check-in_at_3am,easy_check-in_at_3am,staff_take_picture_of_passport,Yes,No,No,No
61,no_evident_not_staff_accommodated_arrival_at_3am,staff_accommodated_arrival_at_3am,no_one_give_key_on_late_check-in,Yes,No,Yes,Yes
62,no_evident_not_staff_accommodated_arrival_at_3am,staff_accommodated_arrival_at_3am,door_lock_on_late_check-in,Yes,No,Yes,Yes
63,no_evident_not_staff_accommodated_arrival_at_3am,staff_accommodated_arrival_at_3am,customer_wait_10_minute_for_greet,No,Yes,No,No
64,no_evident_not_staff_accommodated_arrival_at_3am,staff_accommodated_arrival_at_3am,customer_wait_10_minute_for_check-in,No,Yes,No,No
65,no_evident_not_staff_accommodated_arrival_at_3am,staff_accommodated_arrival_at_3am,staff_misunderstand_on_payment,No,No,,No
66,no_evident_not_staff_accommodated_arrival_at_3am,staff_accommodated_arrival_at_3am,staff_take_picture_of_passport,No,No,,No
67,no_evident_not_clear_instruction,clear_instruction,no_one_give_key_on_late_check-in,No,No,,No
68,no_evident_not_clear_instruction,clear_instruction,door_lock_on_late_check-in,No,No,,No
69,no_evident_not_clear_instruction,clear_instruction,customer_wait_10_minute_for_greet,No,No,,No
70,no_evident_not_clear_instruction,clear_instruction,customer_wait_10_minute_for_check-in,No,No,,No
71,no_evident_not_clear_instruction,clear_instruction,staff_misunderstand_on_payment,No,No,,No
72,no_evident_not_clear_instruction,clear_instruction,staff_take_picture_of_passport,No,No,,No
73,no_evident_not_late_chek-in_at_1am_worked_well,late_chek-in_at_1am_worked_well,no_one_give_key_on_late_check-in,No,Yes,Yes,Yes
74,no_evident_not_late_chek-in_at_1am_worked_well,late_chek-in_at_1am_worked_well,door_lock_on_late_check-in,Yes,Yes,,Yes
75,no_evident_not_late_chek-in_at_1am_worked_well,late_chek-in_at_1am_worked_well,customer_wait_10_minute_for_greet,Yes,No,Yes,Yes
76,no_evident_not_late_chek-in_at_1am_worked_well,late_chek-in_at_1am_worked_well,customer_wait_10_minute_for_check-in,Yes,Yes,,Yes
77,no_evident_not_late_chek-in_at_1am_worked_well,late_chek-in_at_1am_worked_well,staff_misunderstand_on_payment,Yes,Yes,,Yes
78,no_evident_not_late_chek-in_at_1am_worked_well,late_chek-in_at_1am_worked_well,staff_take_picture_of_passport,No,No,,No
79,no_evident_not_hotel_make_sure_to_check-in_at_late_night,hotel_make_sure_to_check-in_at_late_night,no_one_give_key_on_late_check-in,No,Yes,Yes,Yes
80,no_evident_not_hotel_make_sure_to_check-in_at_late_night,hotel_make_sure_to_check-in_at_late_night,door_lock_on_late_check-in,Yes,Yes,,Yes
81,no_evident_not_hotel_make_sure_to_check-in_at_late_night,hotel_make_sure_to_check-in_at_late_night,customer_wait_10_minute_for_greet,No,Yes,Yes,Yes
82,no_evident_not_hotel_make_sure_to_check-in_at_late_night,hotel_make_sure_to_check-in_at_late_night,customer_wait_10_minute_for_check-in,No,Yes,Yes,Yes
83,no_evident_not_hotel_make_sure_to_check-in_at_late_night,hotel_make_sure_to_check-in_at_late_night,staff_misunderstand_on_payment,No,No,,No
84,no_evident_not_hotel_make_sure_to_check-in_at_late_night,hotel_make_sure_to_check-in_at_late_night,staff_take_picture_of_passport,No,No,,No
85,no_evident_not_excellent communication_on_late_check-in_process,excellent communication_on_late_check-in_process,no_one_give_key_on_late_check-in,Yes,Yes,,Yes
86,no_evident_not_excellent communication_on_late_check-in_process,excellent communication_on_late_check-in_process,door_lock_on_late_check-in,No,Yes,Yes,Yes
87,no_evident_not_excellent communication_on_late_check-in_process,excellent communication_on_late_check-in_process,customer_wait_10_minute_for_greet,No,No,,No
88,no_evident_not_excellent communication_on_late_check-in_process,excellent communication_on_late_check-in_process,customer_wait_10_minute_for_check-in,No,Yes,Yes,Yes
89,no_evident_not_excellent communication_on_late_check-in_process,excellent communication_on_late_check-in_process,staff_misunderstand_on_payment,Yes,Yes,,Yes
90,no_evident_not_excellent communication_on_late_check-in_process,excellent communication_on_late_check-in_process,staff_take_picture_of_passport,No,No,,No
91,no_evident_not_staff_aware_late_arraival,staff_aware_late_arraival,no_one_give_key_on_late_check-in,Yes,Yes,,Yes
92,no_evident_not_staff_aware_late_arraival,staff_aware_late_arraival,door_lock_on_late_check-in,Yes,Yes,,Yes
93,no_evident_not_staff_aware_late_arraival,staff_aware_late_arraival,customer_wait_10_minute_for_greet,Yes,Yes,,Yes
94,no_evident_not_staff_aware_late_arraival,staff_aware_late_arraival,customer_wait_10_minute_for_check-in,Yes,Yes,,Yes
95,no_evident_not_staff_aware_late_arraival,staff_aware_late_arraival,staff_misunderstand_on_payment,No,No,,No
96,no_evident_not_staff_aware_late_arraival,staff_aware_late_arraival,staff_take_picture_of_passport,No,No,,No
97,no_evident_not_staff_make_late_check-in_simple,staff_make_late_check-in_simple,no_one_give_key_on_late_check-in,No,Yes,Yes,Yes
98,no_evident_not_staff_make_late_check-in_simple,staff_make_late_check-in_simple,door_lock_on_late_check-in,Yes,Yes,,Yes
99,no_evident_not_staff_make_late_check-in_simple,staff_make_late_check-in_simple,customer_wait_10_minute_for_greet,No,Yes,Yes,Yes
100,no_evident_not_staff_make_late_check-in_simple,staff_make_late_check-in_simple,customer_wait_10_minute_for_check-in,No,Yes,Yes,Yes
101,no_evident_not_staff_make_late_check-in_simple,staff_make_late_check-in_simple,staff_misunderstand_on_payment,Yes,Yes,,Yes
102,no_evident_not_staff_make_late_check-in_simple,staff_make_late_check-in_simple,staff_take_picture_of_passport,Yes,Yes,,Yes
103,no_evident_not_got_self_check-in_instruction_on_late_arrival,got_self_check-in_instruction_on_late_arrival,no_one_give_key_on_late_check-in,No,No,,No
104,no_evident_not_got_self_check-in_instruction_on_late_arrival,got_self_check-in_instruction_on_late_arrival,door_lock_on_late_check-in,No,No,,No
105,no_evident_not_got_self_check-in_instruction_on_late_arrival,got_self_check-in_instruction_on_late_arrival,customer_wait_10_minute_for_greet,No,No,,No
106,no_evident_not_got_self_check-in_instruction_on_late_arrival,got_self_check-in_instruction_on_late_arrival,customer_wait_10_minute_for_check-in,No,No,,No
107,no_evident_not_got_self_check-in_instruction_on_late_arrival,got_self_check-in_instruction_on_late_arrival,staff_misunderstand_on_payment,No,No,,No
108,no_evident_not_got_self_check-in_instruction_on_late_arrival,got_self_check-in_instruction_on_late_arrival,staff_take_picture_of_passport,No,No,,No
109,no_evident_not_staff_allow_early_check-in_in_morning,staff_allow_early_check-in_in_morning,no_one_give_key_on_late_check-in,No,No,,No
110,no_evident_not_staff_allow_early_check-in_in_morning,staff_allow_early_check-in_in_morning,door_lock_on_late_check-in,No,No,,No
111,no_evident_not_staff_allow_early_check-in_in_morning,staff_allow_early_check-in_in_morning,customer_wait_10_minute_for_greet,No,No,,No
112,no_evident_not_staff_allow_early_check-in_in_morning,staff_allow_early_check-in_in_morning,customer_wait_10_minute_for_check-in,No,Yes,Yes,Yes
113,no_evident_not_staff_allow_early_check-in_in_morning,staff_allow_early_check-in_in_morning,staff_misunderstand_on_payment,No,No,,No
114,no_evident_not_staff_allow_early_check-in_in_morning,staff_allow_early_check-in_in_morning,staff_take_picture_of_passport,No,No,,No
115,no_evident_not_late_night_arrival_no_problem,late_night_arrival_no_problem,no_one_give_key_on_late_check-in,No,Yes,Yes,Yes
116,no_evident_not_late_night_arrival_no_problem,late_night_arrival_no_problem,door_lock_on_late_check-in,Yes,Yes,,Yes
117,no_evident_not_late_night_arrival_no_problem,late_night_arrival_no_problem,customer_wait_10_minute_for_greet,No,No,,No
118,no_evident_not_late_night_arrival_no_problem,late_night_arrival_no_problem,customer_wait_10_minute_for_check-in,No,Yes,Yes,Yes
119,no_evident_not_late_night_arrival_no_problem,late_night_arrival_no_problem,staff_misunderstand_on_payment,Yes,No,Yes,Yes
120,no_evident_not_late_night_arrival_no_problem,late_night_arrival_no_problem,staff_take_picture_of_passport,No,No,,No
121,no_evident_not_fast_check-in,fast_check-in,no_one_give_key_on_late_check-in,No,Yes,Yes,Yes
122,no_evident_not_fast_check-in,fast_check-in,door_lock_on_late_check-in,Yes,Yes,,Yes
123,no_evident_not_fast_check-in,fast_check-in,customer_wait_10_minute_for_greet,Yes,Yes,,Yes
124,no_evident_not_fast_check-in,fast_check-in,customer_wait_10_minute_for_check-in,Yes,Yes,,Yes
125,no_evident_not_fast_check-in,fast_check-in,staff_misunderstand_on_payment,No,Yes,Yes,Yes
126,no_evident_not_fast_check-in,fast_check-in,staff_take_picture_of_passport,No,Yes,Yes,Yes
127,no_evident_not_quick_check-in_at_night,quick_check-in_at_night,no_one_give_key_on_late_check-in,Yes,Yes,,Yes
128,no_evident_not_quick_check-in_at_night,quick_check-in_at_night,door_lock_on_late_check-in,Yes,Yes,,Yes
129,no_evident_not_quick_check-in_at_night,quick_check-in_at_night,customer_wait_10_minute_for_greet,Yes,Yes,,Yes
130,no_evident_not_quick_check-in_at_night,quick_check-in_at_night,customer_wait_10_minute_for_check-in,Yes,Yes,,Yes
131,no_evident_not_quick_check-in_at_night,quick_check-in_at_night,staff_misunderstand_on_payment,No,Yes,No,No
132,no_evident_not_quick_check-in_at_night,quick_check-in_at_night,staff_take_picture_of_passport,No,Yes,No,No
133,no_evident_not_room_ready_to_check-in_by_12,room_ready_to_check-in_by_12,no_one_give_key_on_late_check-in,No,No,,No
134,no_evident_not_room_ready_to_check-in_by_12,room_ready_to_check-in_by_12,door_lock_on_late_check-in,No,No,,No
135,no_evident_not_room_ready_to_check-in_by_12,room_ready_to_check-in_by_12,customer_wait_10_minute_for_greet,No,No,,No
136,no_evident_not_room_ready_to_check-in_by_12,room_ready_to_check-in_by_12,customer_wait_10_minute_for_check-in,No,Yes,No,No
137,no_evident_not_room_ready_to_check-in_by_12,room_ready_to_check-in_by_12,staff_misunderstand_on_payment,No,No,,No
138,no_evident_not_room_ready_to_check-in_by_12,room_ready_to_check-in_by_12,staff_take_picture_of_passport,No,No,,No
139,no_evident_not_clear_check-in_direction_at_late_night,clear_check-in_direction_at_late_night,no_one_give_key_on_late_check-in,No,No,,No
140,no_evident_not_clear_check-in_direction_at_late_night,clear_check-in_direction_at_late_night,door_lock_on_late_check-in,No,No,,No
141,no_evident_not_clear_check-in_direction_at_late_night,clear_check-in_direction_at_late_night,customer_wait_10_minute_for_greet,No,No,,No
142,no_evident_not_clear_check-in_direction_at_late_night,clear_check-in_direction_at_late_night,customer_wait_10_minute_for_check-in,No,No,,No
143,no_evident_not_clear_check-in_direction_at_late_night,clear_check-in_direction_at_late_night,staff_misunderstand_on_payment,No,No,,No
144,no_evident_not_clear_check-in_direction_at_late_night,clear_check-in_direction_at_late_night,staff_take_picture_of_passport,No,No,,No
145,no_evident_not_easy_check-in_direction_at_late_night,easy_check-in_direction_at_late_night,no_one_give_key_on_late_check-in,No,No,,No
146,no_evident_not_easy_check-in_direction_at_late_night,easy_check-in_direction_at_late_night,door_lock_on_late_check-in,No,No,,No
147,no_evident_not_easy_check-in_direction_at_late_night,easy_check-in_direction_at_late_night,customer_wait_10_minute_for_greet,No,No,,No
148,no_evident_not_easy_check-in_direction_at_late_night,easy_check-in_direction_at_late_night,customer_wait_10_minute_for_check-in,No,Yes,Yes,Yes
149,no_evident_not_easy_check-in_direction_at_late_night,easy_check-in_direction_at_late_night,staff_misunderstand_on_payment,No,No,,No
150,no_evident_not_easy_check-in_direction_at_late_night,easy_check-in_direction_at_late_night,staff_take_picture_of_passport,No,No,,No
151,no_evident_not_can_move_in_early,can_move_in_early,no_one_give_key_on_late_check-in,No,No,,No
152,no_evident_not_can_move_in_early,can_move_in_early,door_lock_on_late_check-in,No,No,,No
153,no_evident_not_can_move_in_early,can_move_in_early,customer_wait_10_minute_for_greet,No,No,,No
154,no_evident_not_can_move_in_early,can_move_in_early,customer_wait_10_minute_for_check-in,No,Yes,No,No
155,no_evident_not_can_move_in_early,can_move_in_early,staff_misunderstand_on_payment,No,No,,No
156,no_evident_not_can_move_in_early,can_move_in_early,staff_take_picture_of_passport,No,No,,No
157,no_evident_not_no_problem_self_check-in_at_middle_night,no_problem_self_check-in_at_middle_night,no_one_give_key_on_late_check-in,No,Yes,Yes,Yes
158,no_evident_not_no_problem_self_check-in_at_middle_night,no_problem_self_check-in_at_middle_night,door_lock_on_late_check-in,No,Yes,Yes,Yes
159,no_evident_not_no_problem_self_check-in_at_middle_night,no_problem_self_check-in_at_middle_night,customer_wait_10_minute_for_greet,No,No,,No
160,no_evident_not_no_problem_self_check-in_at_middle_night,no_problem_self_check-in_at_middle_night,customer_wait_10_minute_for_check-in,No,Yes,Yes,Yes
161,no_evident_not_no_problem_self_check-in_at_middle_night,no_problem_self_check-in_at_middle_night,staff_misunderstand_on_payment,No,Yes,Yes,Yes
162,no_evident_not_no_problem_self_check-in_at_middle_night,no_problem_self_check-in_at_middle_night,staff_take_picture_of_passport,No,No,,No
163,no_evident_not_no_problem_check-in_after_12_at_night,no_problem_check-in_after_12_at_night,no_one_give_key_on_late_check-in,Yes,Yes,,Yes
164,no_evident_not_no_problem_check-in_after_12_at_night,no_problem_check-in_after_12_at_night,door_lock_on_late_check-in,Yes,Yes,,Yes
165,no_evident_not_no_problem_check-in_after_12_at_night,no_problem_check-in_after_12_at_night,customer_wait_10_minute_for_greet,Yes,Yes,,Yes
166,no_evident_not_no_problem_check-in_after_12_at_night,no_problem_check-in_after_12_at_night,customer_wait_10_minute_for_check-in,Yes,Yes,,Yes
167,no_evident_not_no_problem_check-in_after_12_at_night,no_problem_check-in_after_12_at_night,staff_misunderstand_on_payment,Yes,Yes,,Yes
168,no_evident_not_no_problem_check-in_after_12_at_night,no_problem_check-in_after_12_at_night,staff_take_picture_of_passport,Yes,No,No,No
169,no_evident_not_staff_help_check-in_after_midnight,staff_help_check-in_after_midnight,no_one_give_key_on_late_check-in,Yes,Yes,,Yes
170,no_evident_not_staff_help_check-in_after_midnight,staff_help_check-in_after_midnight,door_lock_on_late_check-in,Yes,Yes,,Yes
171,no_evident_not_staff_help_check-in_after_midnight,staff_help_check-in_after_midnight,customer_wait_10_minute_for_greet,No,No,,No
172,no_evident_not_staff_help_check-in_after_midnight,staff_help_check-in_after_midnight,customer_wait_10_minute_for_check-in,No,Yes,Yes,Yes
173,no_evident_not_staff_help_check-in_after_midnight,staff_help_check-in_after_midnight,staff_misunderstand_on_payment,No,No,,No
174,no_evident_not_staff_help_check-in_after_midnight,staff_help_check-in_after_midnight,staff_take_picture_of_passport,No,No,,No
175,no_evident_not_easy_self_check-in_at_night,easy_self_check-in_at_night,no_one_give_key_on_late_check-in,No,No,,No
176,no_evident_not_easy_self_check-in_at_night,easy_self_check-in_at_night,door_lock_on_late_check-in,No,No,,No
177,no_evident_not_easy_self_check-in_at_night,easy_self_check-in_at_night,customer_wait_10_minute_for_greet,No,No,,No
178,no_evident_not_easy_self_check-in_at_night,easy_self_check-in_at_night,customer_wait_10_minute_for_check-in,No,Yes,No,No
179,no_evident_not_easy_self_check-in_at_night,easy_self_check-in_at_night,staff_misunderstand_on_payment,No,No,,No
180,no_evident_not_easy_self_check-in_at_night,easy_self_check-in_at_night,staff_take_picture_of_passport,No,No,,No
181,no_evident_not_staff_left_clear_information_for_arrival,staff_left_clear_information_for_arrival,no_one_give_key_on_late_check-in,No,No,,No
182,no_evident_not_staff_left_clear_information_for_arrival,staff_left_clear_information_for_arrival,door_lock_on_late_check-in,No,No,,No
183,no_evident_not_staff_left_clear_information_for_arrival,staff_left_clear_information_for_arrival,customer_wait_10_minute_for_greet,No,No,,No
184,no_evident_not_staff_left_clear_information_for_arrival,staff_left_clear_information_for_arrival,customer_wait_10_minute_for_check-in,No,No,,No
185,no_evident_not_staff_left_clear_information_for_arrival,staff_left_clear_information_for_arrival,staff_misunderstand_on_payment,No,No,,No
186,no_evident_not_staff_left_clear_information_for_arrival,staff_left_clear_information_for_arrival,staff_take_picture_of_passport,No,No,,No
187,no_evident_not_staff_left_precise_information_for_arrival,staff_left_precise_information_for_arrival,no_one_give_key_on_late_check-in,No,No,,No
188,no_evident_not_staff_left_precise_information_for_arrival,staff_left_precise_information_for_arrival,door_lock_on_late_check-in,No,No,,No
189,no_evident_not_staff_left_precise_information_for_arrival,staff_left_precise_information_for_arrival,customer_wait_10_minute_for_greet,No,No,,No
190,no_evident_not_staff_left_precise_information_for_arrival,staff_left_precise_information_for_arrival,customer_wait_10_minute_for_check-in,No,No,,No
191,no_evident_not_staff_left_precise_information_for_arrival,staff_left_precise_information_for_arrival,staff_misunderstand_on_payment,No,No,,No
192,no_evident_not_staff_left_precise_information_for_arrival,staff_left_precise_information_for_arrival,staff_take_picture_of_passport,No,No,,No
193,no_evident_not_staff_send_photo_for_arrival,staff_send_photo_for_arrival,no_one_give_key_on_late_check-in,No,No,,No
194,no_evident_not_staff_send_photo_for_arrival,staff_send_photo_for_arrival,door_lock_on_late_check-in,No,No,,No
195,no_evident_not_staff_send_photo_for_arrival,staff_send_photo_for_arrival,customer_wait_10_minute_for_greet,No,No,,No
196,no_evident_not_staff_send_photo_for_arrival,staff_send_photo_for_arrival,customer_wait_10_minute_for_check-in,No,No,,No
197,no_evident_not_staff_send_photo_for_arrival,staff_send_photo_for_arrival,staff_misunderstand_on_payment,No,No,,No
198,no_evident_not_staff_send_photo_for_arrival,staff_send_photo_for_arrival,staff_take_picture_of_passport,No,No,,No
199,no_evident_not_staff_take_care_late_check-in,staff_take_care_late_check-in,no_one_give_key_on_late_check-in,Yes,Yes,,Yes
200,no_evident_not_staff_take_care_late_check-in,staff_take_care_late_check-in,door_lock_on_late_check-in,No,Yes,Yes,Yes
201,no_evident_not_staff_take_care_late_check-in,staff_take_care_late_check-in,customer_wait_10_minute_for_greet,No,No,,No
202,no_evident_not_staff_take_care_late_check-in,staff_take_care_late_check-in,customer_wait_10_minute_for_check-in,No,No,,No
203,no_evident_not_staff_take_care_late_check-in,staff_take_care_late_check-in,staff_misunderstand_on_payment,No,No,,No
204,no_evident_not_staff_take_care_late_check-in,staff_take_care_late_check-in,staff_take_picture_of_passport,No,No,,No
205,no_evident_not_fluid_check-in,fluid_check-in,no_one_give_key_on_late_check-in,No,Yes,Yes,Yes
206,no_evident_not_fluid_check-in,fluid_check-in,door_lock_on_late_check-in,Yes,Yes,,Yes
207,no_evident_not_fluid_check-in,fluid_check-in,customer_wait_10_minute_for_greet,Yes,Yes,,Yes
208,no_evident_not_fluid_check-in,fluid_check-in,customer_wait_10_minute_for_check-in,Yes,Yes,,Yes
209,no_evident_not_fluid_check-in,fluid_check-in,staff_misunderstand_on_payment,Yes,Yes,,Yes
210,no_evident_not_fluid_check-in,fluid_check-in,staff_take_picture_of_passport,No,No,,No
211,no_evident_not_staff_wait_for_check-in_at_3am,staff_wait_for_check-in_at_3am,no_one_give_key_on_late_check-in,Yes,Yes,,Yes
212,no_evident_not_staff_wait_for_check-in_at_3am,staff_wait_for_check-in_at_3am,door_lock_on_late_check-in,Yes,Yes,,Yes
213,no_evident_not_staff_wait_for_check-in_at_3am,staff_wait_for_check-in_at_3am,customer_wait_10_minute_for_greet,No,No,,No
214,no_evident_not_staff_wait_for_check-in_at_3am,staff_wait_for_check-in_at_3am,customer_wait_10_minute_for_check-in,No,No,,No
215,no_evident_not_staff_wait_for_check-in_at_3am,staff_wait_for_check-in_at_3am,staff_misunderstand_on_payment,No,No,,No
216,no_evident_not_staff_wait_for_check-in_at_3am,staff_wait_for_check-in_at_3am,staff_take_picture_of_passport,No,No,,No
217,no_evident_not_staff_give_early_check-in,staff_give_early_check-in,no_one_give_key_on_late_check-in,No,No,,No
218,no_evident_not_staff_give_early_check-in,staff_give_early_check-in,door_lock_on_late_check-in,No,No,,No
219,no_evident_not_staff_give_early_check-in,staff_give_early_check-in,customer_wait_10_minute_for_greet,No,No,,No
220,no_evident_not_staff_give_early_check-in,staff_give_early_check-in,customer_wait_10_minute_for_check-in,No,No,,No
221,no_evident_not_staff_give_early_check-in,staff_give_early_check-in,staff_misunderstand_on_payment,No,No,,No
222,no_evident_not_staff_give_early_check-in,staff_give_early_check-in,staff_take_picture_of_passport,No,No,,No
223,no_evident_not_late_arrival_no_extra_cost,late_arrival_no_extra_cost,no_one_give_key_on_late_check-in,No,No,,No
224,no_evident_not_late_arrival_no_extra_cost,late_arrival_no_extra_cost,door_lock_on_late_check-in,No,No,,No
225,no_evident_not_late_arrival_no_extra_cost,late_arrival_no_extra_cost,customer_wait_10_minute_for_greet,No,No,,No
226,no_evident_not_late_arrival_no_extra_cost,late_arrival_no_extra_cost,customer_wait_10_minute_for_check-in,No,No,,No
227,no_evident_not_late_arrival_no_extra_cost,late_arrival_no_extra_cost,staff_misunderstand_on_payment,No,No,,No
228,no_evident_not_late_arrival_no_extra_cost,late_arrival_no_extra_cost,staff_take_picture_of_passport,No,No,,No
229,no_evident_not_hotel_allow_late_arrival,hotel_allow_late_arrival,no_one_give_key_on_late_check-in,No,No,,No
230,no_evident_not_hotel_allow_late_arrival,hotel_allow_late_arrival,door_lock_on_late_check-in,No,No,,No
